Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP, Gender
1,up,The Weeknd,Blinding Lights,1,1,10,94,2019-12-01,1,2020-03-01,2
2,up,Billie Eilish,everything i wanted,7,2,12,53,2019-11-17,3,2019-11-24,1
3,up,Tones and I,Dance Monkey,3,1,13,6,2019-10-06,1,2019-11-10,1
4,up,Roddy Ricch,The Box,4,4,5,91,2019-12-08,2,2020-02-16,2
5,down,Eminem,Godzilla (feat. Juice WRLD),2,2,3,84,2020-01-19,12,2020-01-26,2
6,up,Billie Eilish,bad guy,13,3,13,5,2019-10-06,5,2019-10-06,1
7,down,Dua Lipa,Don't Start Now,6,2,13,19,2019-11-03,3,2020-01-05,1
8,down,Future,Life Is Good (feat. Drake),5,1,4,86,2020-01-12,6,2020-01-19,2
9,down,Justin Bieber,Yummy,8,2,5,86,2020-01-05,3,2020-01-12,2
10,down,LOLO Branco & Larry 44,PUB G,9,8,7,,,,,2
11,down,SAINt JHN,Roses (Imanbek Remix),10,3,11,97,2020-01-12,7,2020-05-10,2
12,down,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),11,10,11,64,2019-12-01,52,2020-01-12,2
13,up,Lewis Capaldi,Someone You Loved,15,6,13,4,2019-10-06,4,2019-10-06,2
14,up,Amina,Winter Season (feat. Gilli),72,14,2,,,,,1
15,up,Billie Eilish,when the party's over,45,15,13,99,2019-12-29,27,2020-02-02,1
16,up,Maroon 5,Memories,19,11,13,36,2019-10-06,2,2019-11-17,2
17,down,ATYPISK,Kærlighed (feat. Gilli & Kesi),12,2,12,,,,,2
18,down,Post Malone,Circles,16,7,13,2,2019-10-06,2,2019-10-06,2
19,up,Harry Styles,Adore You,32,12,9,24,2019-12-08,6,2020-04-19,2
20,-,Branco & Gilli,Back To Business,-,2,1,,,,,2
21,up,Shawn Mendes & Camila Cabello,Señorita,22,8,13,1,2019-10-06,1,2019-10-06,3
22,down,Selena Gomez,Lose You to Love Me,17,3,13,53,2019-10-27,2,2019-11-03,1
23,up,Lewis Capaldi,Before You Go,31,13,5,45,2019-11-24,10,2020-08-30,2
24,up,Halsey,You should be sad,34,21,3,74,2020-01-12,20,2020-02-16,1
25,up,Lukas Graham,Lie,25,6,13,,,,,2
26,down,Arizona Zervas,ROXANNE,23,12,11,14,2019-11-24,4,2019-12-22,2
27,down,Tessa,Ben,24,13,13,,,,,1
28,up,Branco & Gilli,London Town,30,4,13,,,,,2
29,down,Camur,La Trompeta (feat. MellemFingaMuzik),28,28,3,,,,,2
30,up,Trevor Daniel,Falling,35,28,10,61,2019-11-24,14,2020-01-05,2
31,down,Regard,Ride It,26,11,13,57,2019-10-06,13,2019-11-10,2
32,up,Billie Eilish,bury a friend,83,32,5,,,,,1
33,up,Billie Eilish,ocean eyes,71,33,5,67,2019-12-29,67,2019-12-29,1
34,down,Lady Gaga & Bradley Cooper,Shallow,33,14,13,25,2019-10-06,25,2019-10-06,3
35,down,The Minds Of 99,Som Fluer,29,5,12,,,,,2
36,up,Ed Sheeran & Justin Bieber,I Don't Care,37,22,13,31,2019-10-06,23,2019-11-17,2
37,down,JP Saxe,If the World Was Ending (feat. Julia Michaels),36,32,8,99,2020-01-12,49,2020-06-21,3
38,up,NODE,Limbo (feat. Gilli),38,30,4,,,,,2
39,up,Camila Cabello,My Oh My (feat. DaBaby),39,33,6,52,2019-12-15,22,2020-02-02,3
