Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP, Gender
40,-,Billie Eilish & Khalid,lovely,-,40,2,62,2020-02-02,62,2020-02-02,3
41,up,Kygo & Whitney Houston,Higher Love,42,20,12,22,2019-10-06,20,2019-10-13,3
42,up,Jonas Brothers,What a Man Gotta Do,53,42,2,53,2020-01-19,21,2020-01-26,2
43,up,Meduza Becky Hill & GOODBOYS,Lose Control,57,43,6,87,2019-10-20,28,2019-12-08,3
44,-,Billie Eilish,you should see me in a crown,-,44,1,,,,,1
45,up,Matthew Wilder,Break My Stride,49,45,2,,,,,2
46,up,Travis Scott,HIGHEST IN THE ROOM,50,10,13,35,2019-10-06,2,2019-10-13,2
47,up,ArtigeArdit,Idiot (feat. Karl William),89,31,2,,,,,2
48,up,Phlake & Mercedes the Virus,Baby Steps,52,45,9,,,,,2
49,-,Billie Eilish,wish you were gay,-,49,1,,,,,1
50,up,Dan + Shay & Justin Bieber,10000 Hours,55,18,10,21,2019-10-06,9,2019-10-13,2
51,up,Harry Styles,Falling,64,34,6,57,2019-12-15,39,2019-12-22,2
52,down,Harry Styles,Watermelon Sugar,46,4,10,85,2019-11-17,2,2020-08-23,2
53,down,Tessa,Sjakalina,44,39,6,,,,,1
54,-,Billie Eilish,all the good girls go to hell,-,54,1,96,2019-12-22,96,2019-12-22,1
55,down,Branco & Gilli,Verden Vender,54,2,13,,,,,2
56,-,Ali Gatie,What If I Told You That I Love You,-,37,1,48,2020-02-02,48,2020-02-02,2
57,down,Don Toliver,No Idea,43,38,5,95,2019-12-08,26,2020-01-12,2
58,down,Mac Miller,Good News,20,20,4,62,2020-01-12,21,2020-01-19,2
59,up,Gilli,Vai Amor,59,18,12,,,,,2
60,-,Justin Bieber,Get Me (feat. Kehlani),-,60,1,50,2020-02-02,50,2020-02-02,3
61,up,ICEKIID,Melodisk,85,61,2,,,,,2
62,down,Eminem,Darkness,14,14,3,42,2020-01-19,35,2020-01-26,2
63,up,The Minds Of 99,Alle Skuffer Over Tid,66,13,7,,,,,2
64,down,Selena Gomez,Rare,40,17,4,96,2020-01-12,13,2020-01-19,1
65,down,Lizzo,Good as Hell (feat. Ariana Grande) [Remix],51,23,10,25,2019-10-27,23,2019-11-24,1
66,down,Eminem,Those Kinda Nights (feat. Ed Sheeran),21,21,3,33,2020-01-19,26,2020-01-26,1
67,-,Christopher,Ghost,-,24,1,,,,,2
68,down,Eminem,Unaccommodating (feat. Young M.A),18,18,3,43,2020-01-19,30,2020-01-26,2
69,-,Billie Eilish,i love you,-,69,1,,,,,1
70,up,Ed Sheeran,Shape of You,70,21,8,94,2020-01-05,94,2020-01-05,2
71,down,Ed Sheeran,Beautiful People (feat. Khalid),58,27,11,13,2019-10-06,13,2019-10-06,2
72,up,Roddy Ricch,High Fashion (feat. Mustard),96,72,3,78,2019-12-15,22,2020-02-16,2
73,-,ArtigeArdit,Søvne,-,53,1,,,,,2
74,-,ArtigeArdit,Gothersgade,-,47,3,,,,,2
75,-,ArtigeArdit,Bagsæde,-,58,1,,,,,2
76,down,Eminem,You Gon' Learn (feat. Royce da 59 & White Gold),27,27,3,50,2020-01-19,38,2020-01-26,2
77,-,Billie Eilish,xanny,-,77,1,,,,,1
78,up,Lukas Graham,Love Someone,81,72,6,,,,,2
79,-,Lewis Capaldi,Bruises,-,79,2,,,,,2
80,-,Ava Max,Salt,-,27,1,91,2020-03-01,65,2020-04-19,1
81,-,Mustard,Ballin’ (feat. Roddy Ricch),-,73,2,93,2019-11-10,19,2020-01-12,2
82,-,ArtigeArdit,Grønkjær,-,79,1,,,,,2
83,-,ArtigeArdit,Lov Mig 1 Ting,-,70,1,,,,,2
84,-,ArtigeArdit,Intro,-,84,1,,,,,2
85,down,Khalid,Eleven,56,47,3,,,,,2
86,-,ArtigeArdit,Bankråd,-,81,1,,,,,2
87,-,ArtigeArdit,#%_! Dig Selv,-,87,1,,,,,2
88,down,Benny Jamz,Shopping (feat. Kesi & Stepz),69,33,5,,,,,2
89,down,Harry Styles,Lights Up,63,33,12,19,2019-10-13,12,2019-10-20,2
90,down,Mac Miller,Blue World,47,47,3,45,2020-01-26,45,2020-01-26,2
91,down,Tyga,Ayy Macarena,75,43,6,88,2019-12-01,64,2020-01-12,2
92,-,Calby,Burnout,-,25,1,,,,,2
93,down,YNW Melly,Suicidal,73,73,2,97,2019-12-01,25,2020-02-02,2
94,-,Dua Lipa,Physical,-,7,1,48,2020-02-02,15,2020-04-12,1
95,down,blackbear,hot girl bummer,62,25,10,75,2019-10-06,24,2019-11-10,2
96,-,ArtigeArdit,Beslutninger,-,96,1,,,,,2
97,-,Billie Eilish,my strange addiction,-,97,1,,,,,1
98,-,benny blanco Halsey & Khalid,Eastside,-,67,2,,,,,3
99,-,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) [Remix],-,23,7,7,2019-10-06,7,2019-10-06,2
100,-,Noah Cyrus,July,-,69,2,,,,,1
