Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP, Gender
1,up,Olivia Rodrigo,good 4 u,3,1,3,,,,,1
2,up,Artigeardit & Kesi,Er Her,2,2,3,,,,,2
3,down,Doja Cat,Kiss Me More (feat. SZA),1,1,8,9,2021-04-18,1,2021-05-16,1
4,up,Olivia Rodrigo,deja vu,12,4,9,17,2021-04-11,16,2021-04-18,1
5,down,Justin Bieber,Peaches (feat. Daniel Caesar & GIVĒON),4,1,11,56,2021-03-21,1,2021-03-28,2
6,down,Drew Sycamore,45 Fahrenheit Girl,5,4,8,,,,,1
7,down,Lil Nas X,MONTERO (Call Me By Your Name),6,2,10,3,2021-04-04,3,2021-04-04,2
8,up,Dua Lipa,Levitating (feat. DaBaby),10,7,26,93,2020-10-25,3,2021-05-16,3
9,down,KIDD,Buongiorno,8,6,15,,,,,2
10,up,andreas odbjerg,i morgen er der også en dag,11,7,10,,,,,2
11,down,Billie Eilish,Your Power,7,1,5,74,2021-05-02,5,2021-05-09,1
12,up,Olivia Rodrigo,drivers license,17,1,21,1,2021-01-17,1,2021-01-17,1
13,up,Scarlet Pleasure,What a Life,14,4,36,,,,,2
14,up,BTS,Butter,74,14,2,,,,,2
15,up,The Weeknd & Ariana Grande,Save Your Tears (Remix),16,4,6,76,2021-04-25,2,2021-05-02,3
16,down,Gilli,Kærlighed,9,9,4,,,,,2
17,up,Olivia Rodrigo,traitor,78,13,2,,,,,1
18,up,The Weeknd,Blinding Lights,22,1,79,94,2019-12-01,1,2020-03-01,2
19,down,Tion Wayne & Russ Millions,Body (Remix) [feat. ArrDee E1 (3x3) ZT (3x3) Bugzy Malone Buni Fivio Foreign & Darkoo],13,13,4,84,2021-05-09,17,2021-05-16,2
20,up,Lukas Graham,Happy For You,26,20,3,,,,,2
21,-,Måneskin,ZITTI E BUONI (Eurovision Version),-,21,1,,,,,3
22,down,Fyr Og Flamme,Øve Os På Hinanden,21,2,14,,,,,2
23,down,Bruno Mars & Anderson .Paak & Silk Sonic,Leave The Door Open,18,4,13,6,2021-03-14,2,2021-05-09,2
24,up,Olivia Rodrigo,enough for you,77,24,2,,,,,1
25,down,Tiësto,The Business,23,10,25,52,2021-01-03,18,2021-04-04,2
26,up,Riton & Nightcrawlers,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],30,20,15,72,2021-03-07,18,2021-05-16,2
27,up,Daði Freyr,10 Years,92,27,2,,,,,2
28,down,Tones And I,Fly Away,24,15,18,,,,,1
29,down,Justin Bieber,Hold On,20,2,13,11,2021-03-14,7,2021-03-28,2
30,down,Masked Wolf,Astronaut In The Ocean,25,10,14,60,2021-02-07,6,2021-04-04,2
31,up,Olivia Rodrigo,1 step forward 3 steps back,80,31,2,,,,,1
32,up,Olivia Rodrigo,happier,86,29,2,,,,,1
33,up,Lord Siva,Stjernerne,34,25,12,,,,,2
34,-,Måneskin,ZITTI E BUONI,-,34,1,,,,,3
35,down,Polo G,RAPSTAR,27,7,8,86,2021-04-11,7,2021-04-18,2
36,up,Bella Poarch,Build a Bitch,90,22,2,,,,,1
37,up,Olivia Rodrigo,favorite crime,93,30,2,,,,,1
38,up,Olivia Rodrigo,brutal,82,38,2,,,,,1
39,down,Christopher,Fall So Hard,32,13,11,,,,,2
40,up,Duncan Laurence,Arcade,49,22,17,88,2021-02-28,69,2021-03-14,2
41,down,The Weeknd,Save Your Tears,36,1,27,80,2020-03-22,1,2021-03-21,2
42,down,Jada,I'm Back,31,23,6,,,,,1
43,down,Joel Corry & RAYE & David Guetta,BED,38,23,9,90,2021-04-04,42,2021-04-18,3
