Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP, Gender
78,down,Lil Mosey,Blueberry Faygo,57,26,10,69,2020-02-16,24,2020-04-12,2
79,down,I$WAAL,WHIP WHOP,71,34,7,,,,,2
80,down,Dua Lipa,Physical,69,7,18,48,2020-02-02,15,2020-04-12,1
81,down,Harry Styles,Falling,72,34,23,57,2019-12-15,39,2019-12-22,2
82,down,Ava Max,Kings & Queens,59,46,7,80,2020-03-15,37,2020-09-27,1
83,down,Phlake & Mercedes the Virus,Aliens Need Love Too,63,63,2,,,,,2
84,-,Jimilian,Smid Tøjet,-,84,1,,,,,2
85,down,Surfaces,Sunday Best,61,31,12,96,2020-03-01,27,2020-04-26,2
86,-,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),-,10,27,64,2019-12-01,52,2020-01-12,2
87,down,Lukas Graham,Scars,58,12,11,,,,,2
88,-,Travis Scott,SICKO MODE,-,39,5,48,2020-04-26,9,2020-05-03,2
89,-,Lady Gaga,Chromatica I,-,89,1,,,,,1
90,-,Kygo & Whitney Houston,Higher Love,-,20,23,22,2019-10-06,20,2019-10-13,3
91,down,TopGunn & Medina,NO SKRUB$ (feat. Medina),78,22,6,,,,,3
92,-,Elephon,Flavor Grave,-,67,3,,,,,2
93,-,Natalie Taylor,Surrender,-,74,3,,,,,1
94,-,Lady Gaga,Fun Tonight,-,94,1,83,2020-06-07,83,2020-06-07,1
95,-,The Flunky Flakes,Bravo De Mu,-,74,1,,,,,2
96,-,Lady Gaga,911,-,96,1,98,2020-05-31,74,2020-06-07,1
97,down,Megan Thee Stallion,Savage Remix (feat. Beyoncé),86,47,5,66,2020-05-03,18,2020-05-31,1
98,down,Regard & Raye,Secrets,96,27,2,84,2020-06-14,62,2020-06-28,3
99,down,Drake,Chicago Freestyle (feat. Giveon),65,14,5,92,2020-05-03,26,2020-05-10,2
"100,-,""Kygo, Zara Larsson & Tyga"",Like It Is,-,53,8,81,2020-03-29,40,2020-04-05,3"
