Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Gilli & Kesi,555,1,1,14,,,,,2
2,up,Ariana Grande,yes and?,2,2,4,,,,,1
3,up,Gobs,Tak For Sidst,6,2,35,,,,,2
4,up,Tate McRae,greedy,4,1,21,,,,,1
5,down,Artigeardit & Lamin,Sent,3,3,3,,,,,2
6,down,D1MA,I KNOW,5,1,32,,,,,2
7,up,Jack Harlow,Lovin On Me,7,3,12,,,,,2
8,up,Baloosh,Danser Med Dæmoner (feat. OMAR),8,7,13,,,,,2
9,up,Justin Timberlake,Selfish,68,9,2,,,,,2
10,down,Sophie Ellis-Bextor,Murder On the Dancefloor,9,9,4,,,,,1
11,down,Chris Brown,Angel Numbers / Ten Toes,10,10,11,,,,,2
12,down,Ukendt Kunstner,Uden Dig,11,1,39,,,,,2
13,down,Ida Laurberg & andreas odbjerg,Jeg Ka' Rigtig Godt Li' Dig,12,1,36,,,,,3
14,down,Uro,Føles Godt (feat. Mekdes),13,13,21,,,,,3
15,down,Taylor Swift,Cruel Summer,14,6,32,,,,,1
16,up,Dua Lipa,Houdini,16,16,12,,,,,1
17,down,cassö & RAYE & D-Block Europe,Prada,15,6,24,,,,,3
18,down,Pil,Dronning Af Månen,17,7,45,,,,,1
19,up,The Minds Of 99,Under Din Sne,45,2,112,,,,,2
20,down,21 Savage,redrum,19,13,4,,,,,2
21,down,Gilli,Skarpt Lys,20,2,18,,,,,2
22,up,Mumle,Det Modsatte,23,21,4,,,,,1
23,up,Teddy Swims,Lose Control,29,4,4,,,,,2
24,down,Område 69,Varm,21,14,6,,,,,2
25,up,Noah Carter,winwin,77,25,2,,,,,2
26,down,Olivia Rodrigo,vampire,24,5,30,,,,,1
27,down,D1MA,MOONLIGHT,22,2,49,,,,,2
28,down,Dua Lipa,Dance The Night,18,1,32,,,,,1
29,down,Miley Cyrus,Flowers,26,1,55,,,,,1
30,up,Uro,Godthåbsvej,33,28,5,,,,,2
31,down,Tobias Rahim,STOR MAND (feat. andreas odbjerg),27,1,128,,,,,2
32,up,Natasha Bedingfield,Unwritten,35,17,3,,,,,1
33,down,The Weeknd & Playboi Carti & Madonna,Popular,25,15,24,,,,,3
34,down,Benjamin Hav,Første Dag (feat. Ella Augusta),32,6,5,,,,,3
35,up,Noah Kahan,Stick Season,53,21,2,,,,,2
36,up,YG Marley,Praise Jah In the Moonlight,98,6,2,,,,,2
37,down,Tyla,Water,28,7,21,,,,,1
38,down,Tate McRae,exes,31,22,12,,,,,1
39,down,Doja Cat,Paint The Town Red,30,1,25,,,,,1
40,down,Kesi,Blå Himmel (feat. Hans Philip),38,1,131,,,,,2
41,down,The Weeknd,Blinding Lights,39,1,209,94,2019-12-01,1,2020-03-01,2
42,down,Tobias Rahim,Flyvende Faduma,37,1,75,,,,,2
43,up,Kygo & Ava Max,Whatever,54,43,3,,,,,3
44,down,Unknown,What Was I Made For?,34,3,26,,,,,1
45,down,Caroline Dubois & D1MA,Tilfældigt,41,29,20,,,,,3
46,down,Ed Sheeran,Perfect,43,23,91,73,2019-10-06,58,2019-10-20,2
47,up,Benson Boone,Beautiful Things,87,3,2,,,,,2
48,down,Lamin,Gode Dage Gode Drinks,44,9,74,,,,,2
49,down,andreas odbjerg,benny,36,13,3,,,,,2
50,down,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),40,31,7,,,,,3
51,up,Lamin,Som Forleden,59,7,32,,,,,2
52,down,Taylor Swift,Lover,48,48,7,38,2019-10-06,27,2019-11-03,1
53,up,The Minds Of 99,Alle Skuffer Over Tid,62,13,139,,,,,2
54,down,Artigeardit & Lamin,vi ku' blive,51,8,27,,,,,2
55,down,Blæst,Juice,52,6,71,,,,,3
56,down,Dave & Central Cee,Sprinter,50,1,32,,,,,2
57,down,D1MA,DRØM MIG VÆK,55,14,84,,,,,2
58,down,Kesi,Kom Over,57,30,37,,,,,2
59,down,Tobias Rahim,Vi 1,49,2,31,,,,,2
60,down,Guldimund,Det' Kun Vigtigt Hvad Det Er,47,10,32,,,,,2
61,up,Benny Jamz & Gilli & Kesi,Ibiza (feat. B.O.C),63,1,120,,,,,2
62,down,andreas odbjerg,hjem fra fabrikken,60,1,95,,,,,2
63,down,Branco & Gilli,London Town,56,4,29,,,,,2
64,-,NIKKU,Tarrileravit (Alternative Version),-,64,1,,,,,2
65,-,Gobs,Livet Er Kort,-,9,1,,,,,2
66,down,Taylor Swift,Anti-Hero,61,1,63,,,,,1
67,down,Gilli & Sivas,Kompliceret,42,19,5,,,,,2
68,up,XXXTENTACION,BAD!,75,34,5,,,,,2
69,down,Kenya Grace,Strangers,46,6,18,,,,,1
70,up,Emma Sehested Høeg,Aldrig Helt Nok,88,70,2,,,,,1
71,up,XXXTENTACION,I don’t let go,74,52,5,,,,,2
72,down,ICEKIID,Je Ka Jo,58,7,15,,,,,2
73,down,Lewis Capaldi,Someone You Loved,65,6,110,4,2019-10-06,4,2019-10-06,2
74,-,Thor Farlov,Alt Det (feat. Noah Carter),-,1,1,,,,,2
75,-,Gobs,Ud Af Hovedet (feat. ICEKIID),-,26,1,,,,,2
76,-,Merro8,Intet Nyt (feat. Gilli),-,29,1,,,,,2
77,down,Malte Ebert & Svea S,Mindst Ondt,70,21,10,,,,,3
78,down,Tessa,Hvor Som Helst,64,18,23,,,,,1
79,-,Gobs,Under Vand,-,49,1,,,,,2
80,-,Gobs,Glem Mit Navn (feat. Malte Ebert),-,70,1,,,,,2
81,down,Tom Odell,Another Love,67,13,67,,,,,2
82,down,Adele,Someone Like You,81,35,14,,,,,1
83,down,Coldplay,Viva La Vida,76,14,39,,,,,2
84,down,Artigeardit & Kesi,Er Her,73,2,116,,,,,2
85,-,Gobs,Never Lose,-,64,1,,,,,2
86,-,Gobs,Face 2 Face (feat. Mads Langer),-,60,1,,,,,2
87,-,Gobs,Mit Hjem (feat. Aitch),-,67,1,,,,,2
88,-,Gobs,Et Sted Herude,-,25,9,,,,,2
89,-,Gobs,Svært At Elske Dig,-,71,1,,,,,2
90,up,XXXTENTACION,difference (interlude),93,80,4,,,,,2
91,up,XXXTENTACION,STARING AT THE SKY,100,73,5,,,,,2
92,-,XXXTENTACION,Guardian angel,-,81,3,,,,,2
93,-,Gobs,Allerede Ramt,-,87,1,,,,,2
94,down,Ed Sheeran,Shape of You,78,21,118,94,2020-01-05,94,2020-01-05,2
95,down,Frank Ocean,Pink + White,84,84,3,,,,,2
96,down,Rihanna,Umbrella (feat. JAY Z),72,55,5,,,,,3
97,down,SZA,Snooze,69,51,5,,,,,1
