Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Miley Cyrus,Flowers,1,1,3,,,,,1
2,up,Tobias Rahim,Flyvende Faduma,3,1,26,,,,,2
3,down,RAYE,Escapism. (feat. 070 Shake),2,1,9,,,,,1
4,up,Metro Boomin & The Weeknd & 21 Savage,Creepin',5,3,9,,,,,2
5,down,SZA,Kill Bill,4,3,7,,,,,1
6,up,Taylor Swift,Anti-Hero,6,1,15,,,,,1
7,up,David Guetta & Bebe Rexha,I'm Good (Blue),7,2,23,,,,,3
8,up,Harry Styles,As It Was,8,1,44,,,,,2
9,up,Sam Smith & Kim Petras,Unholy,11,2,19,,,,,3
10,up,andreas odbjerg,hjem fra fabrikken,12,1,48,,,,,2
11,down,Tobias Rahim,ALIVE ALIVE ALIVE,10,10,4,,,,,2
12,up,Lukas Graham,Home Movies (feat. Mickey Guyton),22,12,3,,,,,2
13,down,Tobias Rahim,STOR MAND (feat. andreas odbjerg),9,1,77,,,,,2
14,up,Miguel,Sure Thing,14,6,4,,,,,2
15,down,Tom Odell,Another Love,13,13,34,,,,,2
16,down,Tobias Rahim,Feberdrømmer Xx Dubai,15,1,35,,,,,2
17,up,Meghan Trainor,Made You Look,17,16,14,,,,,1
18,up,Gilli & Saveus,Verden Vågner,20,6,17,,,,,2
19,down,Lamin,Gode Dage Gode Drinks,18,9,26,,,,,2
20,down,Tobias Rahim,Mucki Bar,16,1,51,,,,,2
21,down,Eminem,Mockingbird,19,17,15,,,,,2
22,up,The Minds Of 99,Under Din Sne,24,2,65,,,,,2
23,up,Ed Sheeran,Shivers,23,1,70,,,,,2
24,up,OneRepublic,I Ain't Worried,25,11,29,,,,,2
25,up,Blæst,Juice,26,6,28,,,,,3
26,down,Benny Jamz & Gilli & Kesi,Elo Elo (feat. B.O.C),21,21,4,,,,,2
27,up,Rema & Selena Gomez,Calm Down,33,4,4,,,,,3
28,up,andreas odbjerg,hvad skal verden med sådan en som mig?,30,8,21,,,,,2
29,up,Lukas Graham,Wish You Were Here (feat. Khalid),65,12,17,,,,,2
30,up,Lukas Graham,Never Change,86,30,2,,,,,2
31,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),27,4,72,,,,,3
32,down,Chris Brown,Under the Influence,29,12,26,,,,,2
33,down,The Weeknd,Blinding Lights,32,1,160,94,2019-12-01,1,2020-03-01,2
34,up,Beyoncé,CUFF IT,35,9,26,,,,,1
35,down,SZA,Nobody Gets Me,31,17,8,,,,,1
36,down,Central Cee,LET GO,28,28,7,,,,,2
37,up,Tessa & Lamin & Benny Jamz,BETALT,79,37,2,,,,,3
38,up,Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),41,7,12,,,,,1
39,up,Lamin & ICEKIID,Hvad Skal Der Ske,39,12,18,,,,,2
40,down,Ed Sheeran,Perfect,38,23,43,73,2019-10-06,58,2019-10-20,2
41,-,Artigeardit,Længe Leve,-,2,1,,,,,2
42,up,James Hype & Miggy Dela Rosa & D1MA,Ferrari (D1MA Remix),48,42,3,,,,,2
43,down,Tiësto & Tate McRae,10:35,40,24,4,,,,,3
44,down,Tobias Rahim,Ozonlag A Energi (feat. Niels Brandt),36,6,12,,,,,2
45,down,Dean Lewis,How Do I Say Goodbye,42,34,17,,,,,2
46,up,JVKE,Golden Hour,46,45,4,,,,,2
47,down,The Minds Of 99,Og Du Blev Til En Hvid Fugl,37,30,3,,,,,2
48,down,Lost Frequencies & Calum Scott,Where Are You Now,47,7,61,,,,,2
49,up,Taylor Swift,Track One,50,5,13,,,,,1
50,up,Cian Ducrot,I'll Be Waiting,77,50,2,,,,,2
51,down,Ed Sheeran,Bad Habits,43,1,79,,,,,2
52,-,Artigeardit,Tetovo,-,4,1,,,,,2
53,up,Lewis Capaldi,Forget Me,56,24,15,,,,,2
