Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Tate McRae,greedy,5,1,3,,,,,1
2,down,Doja Cat,Paint The Town Red,1,1,7,,,,,1
3,down,D1MA,I KNOW,2,1,14,,,,,2
4,down,Ida Laurberg & andreas odbjerg,Jeg Ka' Rigtig Godt Li' Dig,3,1,18,,,,,3
5,down,Gobs,Tak For Sidst,4,2,17,,,,,2
6,up,Kenya Grace,Strangers,15,6,3,,,,,1
7,down,Olivia Rodrigo,vampire,6,5,14,,,,,1
8,up,cassö & RAYE & D-Block Europe,Prada,12,6,6,,,,,3
9,down,Dave & Central Cee,Sprinter,7,1,18,,,,,2
10,down,Dua Lipa,Dance The Night,8,1,18,,,,,1
11,down,Artigeardit & Lamin & ICEKIID,xoxo,10,4,5,,,,,2
12,down,Ukendt Kunstner,Uden Dig,11,1,21,,,,,2
13,up,Tobias Rahim,Vi 1,14,2,18,,,,,2
14,up,D1MA,MOONLIGHT,18,2,31,,,,,2
15,down,Unknown,What Was I Made For?,13,3,12,,,,,1
16,up,Taylor Swift,Cruel Summer,21,6,14,,,,,1
17,up,Lamin,Som Forleden,17,7,18,,,,,2
18,up,Tobias Rahim,STOR MAND (feat. andreas odbjerg),20,1,112,,,,,2
19,up,Artigeardit & Lamin,vi ku' blive,19,8,15,,,,,2
20,up,Tessa,Hvor Som Helst,22,18,13,,,,,1
21,down,Drake,Slime You Out (feat. SZA),9,9,3,,,,,3
22,up,Tobias Rahim,Flyvende Faduma,24,1,61,,,,,2
23,up,Artigeardit & Lamin,hva status,25,9,5,,,,,2
24,down,Rema & Selena Gomez,Calm Down,23,4,39,,,,,3
25,up,Lamin,Gode Dage Gode Drinks,27,9,61,,,,,2
26,up,Tyla,Water,41,7,3,,,,,1
27,up,Uro,Føles Godt (feat. Mekdes),35,13,6,,,,,3
28,up,ICEKIID & Artigeardit,Jumeirah,28,6,21,,,,,2
29,up,Caroline Dubois & D1MA,Tilfældigt,37,29,8,,,,,3
30,down,Miley Cyrus,Flowers,16,1,38,,,,,1
31,up,Danser Med Piger,God Pige (feat. TopGunn),33,2,27,,,,,2
32,down,Kesi,Topform,26,19,4,,,,,2
33,up,Merro8,2 Kanoner,46,29,4,,,,,2
34,up,Taylor Swift,Anti-Hero,39,1,50,,,,,1
35,down,Miley Cyrus,Used To Be Young,29,12,6,,,,,1
36,up,andreas odbjerg,smugryger,36,9,27,,,,,2
37,down,Nicki Minaj & Ice Spice,Barbie World (with Aqua),30,4,11,,,,,3
38,up,Harry Styles,As It Was,38,1,79,,,,,2
39,up,Pil,Dronning Af Månen,44,7,32,,,,,1
40,up,Calvin Harris & Sam Smith,Desire,40,40,9,,,,,2
41,up,Kesi,Blå Himmel (feat. Hans Philip),45,1,117,,,,,2
42,up,The Minds Of 99,Under Din Sne,48,2,100,,,,,2
43,up,Branco,LEVENDE LEGENDE (feat. Vory),90,43,2,,,,,2
44,up,D1MA,DRØM MIG VÆK,55,14,72,,,,,2
45,down,Loreen,Tattoo,43,7,21,,,,,1
46,up,The Weeknd,Blinding Lights,54,1,195,94,2019-12-01,1,2020-03-01,2
47,up,Gobs,Et Sted Herude,49,25,6,,,,,2
48,up,The Minds Of 99,Alle Skuffer Over Tid,56,13,129,,,,,2
49,down,Olivia Rodrigo,get him back!,32,18,4,,,,,1
50,up,Tobias Rahim,Mucki Bar,53,1,86,,,,,2
51,down,The Weeknd & Playboi Carti & Madonna,Popular,47,15,18,,,,,3
52,up,andreas odbjerg,hjem fra fabrikken,58,1,83,,,,,2
53,down,Olivia Rodrigo,bad idea right?,31,22,8,,,,,1
54,down,Suspekt,Gonzo,50,9,32,,,,,2
55,down,Gunna,fukumean,51,36,12,,,,,2
56,up,Tobias Rahim,Feberdrømmer Xx Dubai,65,1,70,,,,,2
57,up,Ed Sheeran,Perfect,66,23,77,73,2019-10-06,58,2019-10-20,2
58,up,Kylie Minogue,Padam Padam,89,58,12,,,,,1
59,up,Benny Jamz & Gilli & Kesi,Ibiza (feat. B.O.C),70,1,110,,,,,2
60,up,Ida Laurberg,Terrier,68,20,31,,,,,1
61,down,Christopher,A Beautiful Life (From the Netflix Film ‘A Beautiful Life’),57,3,18,,,,,2
62,up,Tom Odell,Another Love,78,13,57,,,,,2
63,down,Artigeardit & Kesi,Er Her,62,2,107,,,,,2
64,up,Benny Jamz & Gilli & Kesi,Under Radar (feat. B.O.C),69,26,17,,,,,2
65,up,Lewis Capaldi,Someone You Loved,75,6,100,4,2019-10-06,4,2019-10-06,2
66,down,Post Malone,Chemical,60,30,17,,,,,2
67,down,David Kushner,Daylight,61,8,25,,,,,2
68,up,Kesi,Kom Over,76,30,26,,,,,2
69,up,Blæst,Juice,85,6,63,,,,,3
70,up,Adele,Set Fire to the Rain,77,54,17,,,,,1
71,down,Suspekt,Shotsrør,34,34,3,,,,,2
72,-,ICEKIID,Je Ka Jo,-,7,1,,,,,2
73,down,Peggy Gou,(It Goes Like) Nanana (Edit),64,49,4,,,,,1
74,-,Troye Sivan,Got Me Started,-,30,1,,,,,2
75,up,Rasmus Seebach,Øde Ø,86,58,15,,,,,2
76,up,テイラー・スウィフト,Style,94,63,7,,,,,1
77,down,Suspekt,Fuld Dominans,42,42,2,,,,,2
78,-,Ed Sheeran,Magical,-,45,1,,,,,2
79,up,Ed Sheeran,Shivers,83,1,104,,,,,2
80,down,Selena Gomez,Single Soon,73,27,6,,,,,1
81,up,Artigeardit & Lamin,Vågen,96,7,66,,,,,2
82,down,Artigeardit & Lamin,selvfølgelig,79,12,5,,,,,2
83,down,TopGunn,Lad Mig Gå,59,45,4,,,,,2
84,up,andreas odbjerg,i morgen er der også en dag,92,7,124,,,,,2
85,down,Blæst,All In (feat. Lamin),72,4,33,,,,,3
86,down,Coldplay,Viva La Vida,82,14,34,,,,,2
87,-,Ed Sheeran,American Town,-,39,1,,,,,2
88,-,Ed Sheeran,England,-,88,1,,,,,2
89,down,Skinz,Senorita,63,48,6,,,,,2
90,-,Ed Sheeran,Amazing,-,75,1,,,,,2
91,up,Ed Sheeran,Bad Habits,99,1,110,,,,,2
92,-,Ed Sheeran,Plastic Bag,-,77,1,,,,,2
93,down,Kesi,10 Ud Af 10,67,31,4,,,,,2
94,-,50 Cent,In Da Club,-,77,4,,,,,2
95,down,Sauwestari,Uerisimaartitaaneq,88,63,4,,,,,3
96,-,Adele,Someone Like You,-,35,8,,,,,1
97,down,Branco & Gilli,London Town,95,4,25,,,,,2
