Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Tobias Rahim,Flyvende Faduma,1,1,9,,,,,2
2,up,David Guetta & Bebe Rexha,I'm Good (Blue),2,2,6,,,,,3
3,up,Tobias Rahim,Feberdrømmer Xx Dubai,3,1,18,,,,,2
4,up,Sam Smith & Kim Petras,Unholy,81,2,2,,,,,3
5,up,Tobias Rahim,STOR MAND (feat. andreas odbjerg),5,1,60,,,,,2
6,up,Blæst,Juice,10,6,15,,,,,3
7,down,Malte Ebert,Kalde Dem for Du,4,4,3,,,,,2
8,down,Tobias Rahim,Mucki Bar,7,1,34,,,,,2
9,down,Harry Styles,As It Was,6,1,27,,,,,2
10,up,Lamin,Gode Dage Gode Drinks,11,9,9,,,,,2
11,down,andreas odbjerg,hvad skal verden med sådan en som mig?,9,8,7,,,,,2
12,down,andreas odbjerg,hjem fra fabrikken,8,1,31,,,,,2
13,up,OneRepublic,I Ain't Worried,13,11,14,,,,,2
14,up,Chris Brown,Under the Influence,14,12,9,,,,,2
15,down,Lamin & ICEKIID,Hvad Skal Der Ske,12,12,5,,,,,2
16,down,Elton John & Britney Spears,Hold Me Closer,15,8,6,,,,,3
17,up,Tom Odell,Another Love,21,13,17,,,,,2
18,down,Artigeardit & Lamin,Vågen,16,7,19,,,,,2
19,up,Blæst,Sover Du Nu,85,19,2,,,,,3
20,down,Ed Sheeran,Shivers,17,1,56,,,,,2
21,down,Steve Lacy,Bad Habit,19,19,9,,,,,2
22,down,Lukas Graham,Wish You Were Here (feat. Khalid),18,12,7,,,,,2
23,down,The Minds Of 99,Under Din Sne,20,2,48,,,,,2
24,up,Harry Styles,Late Night Talking,41,4,20,,,,,2
25,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),25,4,59,,,,,3
26,down,James Hype & Miggy Dela Rosa,Ferrari,22,18,11,,,,,2
27,up,Tobias Rahim,Når Mænd Græder,43,9,21,,,,,2
28,down,D1MA,DRØM MIG VÆK,26,14,26,,,,,2
29,down,Lewis Capaldi,Forget Me,24,24,4,,,,,2
30,up,Beyoncé,CUFF IT,33,9,10,,,,,1
31,down,Beyoncé,BREAK MY SOUL,23,4,15,,,,,1
32,down,Ed Sheeran,Bad Habits,27,1,67,,,,,2
33,down,Kesi,Skør For Dig (feat. Jada),30,13,16,,,,,3
34,down,Lost Frequencies & Calum Scott,Where Are You Now,31,7,49,,,,,2
35,down,Nicki Minaj,Super Freaky Girl,29,20,8,,,,,1
36,down,Lizzo,About Damn Time,32,7,25,,,,,1
37,up,Ed Sheeran,Perfect,40,23,31,73,2019-10-06,58,2019-10-20,2
38,up,Dean Lewis,How Do I Say Goodbye,67,34,4,,,,,2
39,down,Lamin & Kesi & Benny Jamz,Balance,28,19,5,,,,,2
40,down,Glass Animals,Heat Waves,34,7,57,75,2021-02-28,71,2021-03-07,2
41,down,andreas odbjerg,i morgen er der også en dag,39,7,79,,,,,2
42,down,Nicky Youre & Dazy,Sunroof,38,24,13,,,,,2
43,down,LF SYSTEM,Afraid To Feel,35,15,15,,,,,2
44,down,Benny Jamz,VI VARME,36,19,14,,,,,2
45,up,Dean Lewis,Half a Man,59,2,36,,,,,2
46,up,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),90,45,2,,,,,2
47,down,The Weeknd,Blinding Lights,44,1,148,94,2019-12-01,1,2020-03-01,2
48,down,Kesi,Mona Lisa (feat. Lord Siva),37,7,18,,,,,2
49,down,Rasmus Seebach,Livstegn,45,38,18,,,,,2
50,up,Camila Cabello,Bam Bam (feat. Ed Sheeran),50,7,31,,,,,3
51,up,Ed Sheeran,Thinking Out Loud,54,28,19,,,,,2
52,up,Ed Sheeran,Shape of You,52,21,76,94,2020-01-05,94,2020-01-05,2
53,up,andreas odbjerg,føler mig selv 100,53,21,63,,,,,2
54,down,The Kid LAROI & Justin Bieber,Stay,42,1,65,,,,,2
55,down,Oxlade,KU LO SA - A COLORS SHOW,49,49,4,,,,,2
56,down,Jada,Don't Say My Name And Forget It Again,55,22,17,,,,,1
57,down,Benny Jamz & Gilli & Kesi,Ibiza (feat. B.O.C),56,1,68,,,,,2
58,up,The Minds Of 99,Alle Skuffer Over Tid,58,13,86,,,,,2
59,up,Artigeardit & Kesi,Er Her,62,2,67,,,,,2
60,up,Dean Lewis,Be Alright,79,28,31,,,,,2
61,down,Kesi,Blå Himmel (feat. Hans Philip),60,1,81,,,,,2
62,down,Branco,Håb,47,47,3,,,,,2
63,down,Central Cee,Doja,46,16,11,,,,,2
64,down,Rosa Linn,SNAP,51,46,8,,,,,1
65,up,Lord Siva,Hvor Jeg kommer Fra,76,65,4,,,,,2
66,up,Tobias Rahim,Op A Væggen,68,50,14,,,,,2
67,down,Artigeardit & Lamin,Hvor Fuck Er Min Drink?,66,20,21,,,,,2
68,-,Coolio,Gangsta's Paradise (feat. L.V.),-,68,1,,,,,2
69,-,Hans Philip,Hjertebrand,-,6,1,,,,,2
70,up,Drew Sycamore,Electric Motion,72,50,13,,,,,1
71,up,Adele,Easy On Me,73,1,47,,,,,1
72,-,Hans Philip,Forevt,-,33,1,,,,,2
73,down,BLACKPINK,Shut Down,48,48,3,,,,,1
74,-,Skinz,Sig Det Til Mig (feat. Jimilian),-,74,1,,,,,2
75,-,Ed Sheeran,Celestial,-,17,1,,,,,2
76,-,Hans Philip,NESO,-,34,1,,,,,2
77,down,Malte Ebert,Kun Med Dig,64,60,5,,,,,2
78,up,Fleetwood Mac,Go Your Own Way,86,69,13,,,,,3
79,down,Volbeat,For Evigt (feat. Johan Olsen),71,48,64,,,,,2
80,-,Hans Philip,Ciel,-,41,1,,,,,2
81,-,Hans Philip,Årstider,-,38,1,,,,,2
82,-,Hans Philip,[19112020],-,59,1,,,,,2
83,-,Hans Philip,Somendrøm,-,55,1,,,,,2
84,down,Burna Boy,For My Hand (feat. Ed Sheeran),61,36,13,,,,,2
85,down,Jax Jones,Where Did You Go? (feat. MNEK),63,43,18,,,,,2
86,down,The Weeknd,Starboy (feat. Daft Punk),80,56,9,,,,,2
87,down,Calvin Harris & Dua Lipa,One Kiss,70,38,19,,,,,3
88,down,Tessa,Engangspik,57,6,12,,,,,1
89,-,Dean Lewis,Hurtless,-,8,13,,,,,2
90,-,Hans Philip,Rubato,-,74,1,,,,,2
91,-,Billie Eilish,everything i wanted,-,2,70,53,2019-11-17,3,2019-11-24,1
92,-,Sivas,Høj På Livet,-,92,1,,,,,2
93,down,Gilli,Kender Ik' I Morgen,77,3,38,,,,,2
94,down,Danser Med Piger,Danser Med Piger,75,60,4,,,,,2
95,-,Lewis Capaldi,Someone You Loved,-,6,70,4,2019-10-06,4,2019-10-06,2
96,up,Ed Sheeran,Castle on the Hill,98,46,6,,,,,2
97,-,Billie Eilish,when the party's over,-,15,41,99,2019-12-29,27,2020-02-02,1
98,-,Hans Philip,Tæt på,-,49,1,,,,,2
99,down,Lamin,Window,78,51,7,,,,,2
100,-,The Neighbourhood,Sweater Weather,-,84,1,77,2021-01-10,63,2021-02-07,2
