Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP, Gender
1,up,Gilli,3STYLE,29,1,2,,,,,2
2,up,24kGoldn,Mood (feat. iann dior),3,1,7,33,2020-08-23,1,2020-10-11,2
3,down,Lord Siva,Solhverv,2,2,15,,,,,2
4,up,Justin Bieber,Holy (feat. Chance the Rapper),4,4,3,83,2020-09-20,4,2020-09-27,2
5,down,Larry 44,Filur (feat. Gilli),1,1,3,,,,,2
6,down,Internet Money & Gunna,Lemonade (feat. Don Toliver & NAV),5,5,7,61,2020-08-23,8,2020-10-04,2
7,up,The Weeknd,Blinding Lights,9,1,45,94,2019-12-01,1,2020-03-01,2
8,up,Joel Corry,Head & Heart (feat. MNEK),12,4,11,99,2020-07-26,16,2020-09-20,2
9,down,Natasja Tessa & Karen Mukupa,Til Banken,6,2,6,,,,,1
10,down,Cardi B,WAP (feat. Megan Thee Stallion),8,3,9,80,2020-08-09,1,2020-08-16,1
11,down,Kesi,Blå Himmel (feat. Hans Philip),7,1,10,,,,,2
12,down,Victor Leksell,Svag,11,7,16,,,,,2
13,up,ICEKIID,Errudumellahvad,16,2,17,,,,,2
14,down,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),10,1,16,36,2020-06-21,2,2020-08-09,2
15,up,Pop Smoke,For the Night (feat. Lil Baby & DaBaby),17,10,14,74,2020-07-05,5,2020-07-12,2
16,up,Tate McRae,you broke me first,22,13,7,81,2020-08-23,15,2020-11-15,1
17,down,Miley Cyrus,Midnight Sky,15,15,8,14,2020-08-23,12,2020-10-25,1
18,down,Lukas Graham,Share That Love (feat. G-Eazy),14,8,7,,,,,2
19,down,Pop Smoke,Mood Swings (feat. Lil Tjay),13,5,14,54,2020-07-12,6,2020-08-09,2
20,down,Harry Styles,Watermelon Sugar,18,4,32,85,2019-11-17,2,2020-08-23,2
21,up,Jada,On Me,76,16,2,,,,,1
22,up,BTS,Dynamite,28,16,7,96,2020-08-23,2,2020-08-30,2
23,up,Pop Smoke,What You Know Bout Love,34,16,5,81,2020-07-12,14,2020-10-18,2
24,up,Clara,Girl like You,26,22,5,,,,,1
25,down,LOLO & ATYPISK,ALL MY LOVE,23,8,12,,,,,2
26,down,Topic,Breaking Me (feat. A7S),19,7,18,94,2020-03-01,8,2020-08-16,2
27,up,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),74,27,2,87,2020-09-27,12,2020-10-04,3
28,up,Stepz,Moncler,64,28,2,,,,,2
29,down,Branco,Tempo,27,11,6,,,,,2
30,up,Jubel,Dancing in the Moonlight (feat. NEIMY),35,30,6,,,,,3
31,down,Artigeardit,BABY,25,14,4,,,,,2
32,down,Christopher,Leap Of Faith,30,13,20,,,,,2
33,down,Gilli & Mr Eazi,Can't Lose,21,8,6,,,,,2
34,down,Tones and I,Dance Monkey,32,1,48,6,2019-10-06,1,2019-11-10,1
35,up,Jada,Nudes,38,5,29,,,,,1
36,down,Drake,Laugh Now Cry Later (feat. Lil Durk),24,8,8,78,2020-08-16,3,2020-08-23,2
37,down,Sivas,CRIMEWAVE,20,15,5,,,,,2
38,up,Jason Derulo,Take You Dancing,39,25,8,71,2020-08-23,16,2021-01-17,2
39,down,DaBaby,ROCKSTAR (feat. Roddy Ricch),31,2,25,79,2020-04-19,1,2020-07-05,2
40,up,Lewis Capaldi,Before You Go,41,13,40,45,2019-11-24,10,2020-08-30,2
41,down,Niels Brandt,Hele Verden Fra Forstanden,37,37,3,,,,,2
42,down,Lewis Capaldi,Someone You Loved,40,6,36,4,2019-10-06,4,2019-10-06,2
43,down,Lady Gaga & Ariana Grande,Rain On Me,42,3,20,75,2020-05-24,1,2020-05-31,1
44,up,CHUNG HA & Christopher,Bad Boy,87,44,2,,,,,3
45,up,Clean Bandit & Mabel,Tick Tock (feat. 24kGoldn),57,39,4,99,2020-10-11,61,2020-11-01,3
46,down,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),33,5,14,17,2020-07-12,17,2020-07-12,2
47,up,Sam Smith,Diamonds,49,29,3,51,2020-09-27,18,2020-11-15,2
48,down,Conan Gray,Heather,36,28,7,44,2020-08-23,15,2020-09-13,2
49,down,Taylor Swift,cardigan,44,1,11,72,2020-07-26,1,2020-08-02,1
50,up,Scarlet Pleasure,What a Life,98,4,2,,,,,2
51,down,Lady Gaga & Bradley Cooper,Shallow,45,14,48,25,2019-10-06,25,2019-10-06,3
52,up,Nicklas Sahl,Say It Back,52,34,9,,,,,2
53,down,SAINt JHN,Roses (Imanbek Remix),48,3,46,97,2020-01-12,7,2020-05-10,2
54,down,Calby,Burnout,47,25,36,,,,,2
55,up,Billie Eilish,everything i wanted,58,2,47,53,2019-11-17,3,2019-11-24,1
56,down,Gilli,Snik Snak,43,1,15,,,,,2
57,down,HEDEGAARD & Conor Maynard,Alone With You (feat. Katie Pearlman),56,45,5,,,,,3
58,up,Dua Lipa,Don't Start Now,60,2,48,19,2019-11-03,3,2020-01-05,1
59,up,Billie Eilish,bad guy,59,3,48,5,2019-10-06,5,2019-10-06,1
60,down,Jung, Blitz Baby,50,6,27,,,,,2
61,up,The Minds Of 99,Alle Skuffer Over Tid,72,13,23,,,,,2
62,down,DJ Khaled,POPSTAR (feat. Drake),51,15,12,94,2020-07-19,8,2020-09-20,2
63,down,The Weeknd,In Your Eyes,55,2,29,41,2020-03-22,12,2020-03-29,2
64,down,Taylor Swift,exile (feat. Bon Iver),54,7,11,90,2020-07-26,9,2020-08-02,3
65,-,Sivas Kesi & Noah Carter,COMFY,-,17,1,,,,,2
66,down,Pay,MasterChef (feat. Xabski),46,46,3,,,,,2
67,up,SASO,Howl (feat. Milk),75,67,2,,,,,3
68,down,Pop Smoke,Dior,63,31,16,100,2020-02-23,46,2020-07-12,2
69,up,Taylor Swift,the 1,93,3,11,56,2020-07-26,7,2020-08-02,1
70,-,The Minds Of 99,En Stemme,-,27,1,,,,,2
71,-,Ritt Momney,Put Your Records On,-,35,1,95,2020-10-18,84,2020-11-01,2
72,down,Stepz,Guap,61,20,7,,,,,2
73,up,Pop Smoke,Got It on Me,89,16,13,25,2020-07-12,25,2020-07-12,2
74,up,Lazy Weekends & Zookeepers,Alone Not Lonely,77,74,2,,,,,2
75,-,Shawn Mendes,Wonder,-,22,1,15,2020-10-11,15,2020-10-11,2
76,-,21 Savage & Metro Boomin,Mr. Right Now (feat. Drake),-,39,1,77,2020-10-04,17,2020-10-11,2
77,-,21 Savage & Metro Boomin,Runnin,-,43,1,89,2020-10-04,19,2020-10-11,2
78,-,Jimilian,Dejlig (feat. Fouli),-,1,1,,,,,2
79,-,Thor Farlov,Alene,-,55,1,,,,,2
80,down,Chris Brown & Young Thug,Go Crazy,62,54,13,98,2020-05-31,13,2020-08-16,2
81,up,Drew Sycamore,Take It Back,95,71,8,,,,,1
82,down,NODE,Pull Up,53,13,8,,,,,2
83,-,KDZ,Bounce,-,83,1,,,,,2
84,down,Headie One,Ain't It Different (feat. AJ Tracey & Stormzy),67,67,6,,,,,2
85,down,Benny Jamz,Sympati,70,16,8,,,,,2
86,-,21 Savage & Metro Boomin,Rich N***a Shit (feat. Young Thug),-,78,1,47,2020-10-11,47,2020-10-11,2
87,-,Bryson Tiller,Outta Time (feat. Drake),-,65,1,64,2020-10-11,64,2020-10-11,2
88,-,21 Savage & Metro Boomin,Glock in My Lap,-,74,1,94,2020-10-04,42,2020-10-11,2
89,-,Lamin & ICEKIID,Daggerin',-,73,1,,,,,2
90,-,21 Savage & Metro Boomin,Many Men,-,90,1,59,2020-10-11,59,2020-10-11,2
91,-,21 Savage & Metro Boomin,Slidin,-,91,1,62,2020-10-11,62,2020-10-11,2
92,down,Harry Styles,Falling,83,34,35,57,2019-12-15,39,2019-12-22,2
93,down,Ude Af Kontrol,Phønix,79,79,2,,,,,2
94,-,BLACKPINK,Lovesick Girls,-,88,1,3,2020-10-11,3,2020-10-11,1
95,-,21 Savage & Metro Boomin,Snitches & Rats (feat. Young Nudy),-,95,1,,,,,2
96,down,Fouli,Mbappe,69,41,5,,,,,2
97,down,Harry Styles,Adore You,86,12,44,24,2019-12-08,6,2020-04-19,2
98,down,Ava Max,Kings & Queens,73,46,14,80,2020-03-15,37,2020-09-27,1
99,-,Dua Lipa,Levitating (feat. DaBaby),-,7,1,93,2020-10-25,3,2021-05-16,3
100,down,Dean Lewis,Be Alright,85,28,6,,,,,2
