Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP, Gender
1,up,Ed Sheeran,Bad Habits,2,1,15,,,,,2
2,down,The Kid LAROI & Justin Bieber,Stay,1,1,13,,,,,2
3,up,Ed Sheeran,Shivers,3,1,4,,,,,2
4,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),5,4,7,,,,,3
5,up,Tobias Rahim,STOR MAND (feat. andreas odbjerg),8,1,8,,,,,2
6,down,Lil Nas X & Jack Harlow,INDUSTRY BABY,4,4,11,,,,,2
7,down,Benny Jamz & Gilli & Kesi,Ibiza (feat. B.O.C),6,1,16,,,,,2
8,up,Doja Cat,Woman,9,6,9,,,,,1
9,down,Lil Nas X,THATS WHAT I WANT,7,7,3,,,,,2
10,up,The Weeknd,Take My Breath,10,5,9,,,,,2
11,up,Glass Animals,Heat Waves,11,7,5,75,2021-02-28,71,2021-03-07,2
12,up,Billie Eilish,Happier Than Ever,13,3,10,,,,,1
13,down,Sivas & Lord Siva,Push it to the limit,12,11,3,,,,,2
14,up,Branco & Artigeardit & Lukas Graham,GOAL,53,14,2,,,,,2
15,up,Coldplay X BTS,My Universe,78,11,2,,,,,2
16,up,Drake,Way 2 Sexy (feat. Future & Young Thug),16,11,5,,,,,2
17,down,Branco & Stepz,Istanbul,14,14,4,,,,,2
18,down,Olivia Rodrigo,good 4 u,17,1,21,,,,,1
19,down,Drake,Girls Want Girls (feat. Lil Baby),15,3,5,,,,,2
20,up,Artigeardit & Kesi,Er Her,22,2,21,,,,,2
21,down,Lil Nas X,MONTERO (Call Me By Your Name),19,2,28,3,2021-04-04,3,2021-04-04,2
22,-,Alex Vargas,Police Bells & Church Sirens,-,14,1,,,,,2
23,up,Sam Smith,Like I Can,25,23,4,,,,,2
24,down,Drake,Fair Trade (feat. Travis Scott),20,5,5,,,,,2
25,down,andreas odbjerg,i morgen er der også en dag,23,7,28,,,,,2
26,down,ABBA,Don't Shut Me Down,18,4,5,,,,,3
27,down,The Weeknd,Blinding Lights,21,1,97,94,2019-12-01,1,2020-03-01,2
28,up,Måneskin,Beggin,29,9,17,,,,,3
29,down,The Weeknd & Ariana Grande,Save Your Tears (Remix),27,4,24,76,2021-04-25,2,2021-05-02,3
30,up,Ed Sheeran,Visiting Hours,33,12,7,,,,,2
31,up,Drew Sycamore,45 Fahrenheit Girl,31,4,26,,,,,1
32,down,Lukas Graham,Call My Name,24,24,3,,,,,2
33,down,Anders Matthesen,Bad Boy,30,15,7,,,,,2
34,down,Doja Cat,Need To Know,28,16,11,,,,,1
35,up,Joel Corry & Jax Jones & Charli XCX,OUT OUT (feat. Saweetie),38,30,5,,,,,3
36,down,Christopher,If It Weren’t For You,32,32,4,,,,,2
37,up,Branco & Artigeardit,HOTBOYZ,54,37,2,,,,,2
38,up,Dj Yo!,Love Nwantiti (feat. Ckay & AX'EL) [Remix],59,17,2,,,,,2
39,up,CKay,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],40,39,3,,,,,2
