Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Ukendt Kunstner,Uden Dig,1,1,4,,,,,2
2,up,Miley Cyrus,Flowers,2,1,21,,,,,1
3,up,D1MA,MOONLIGHT,6,2,14,,,,,2
4,up,Danser Med Piger,God Pige (feat. TopGunn),4,2,10,,,,,2
5,up,Rema & Selena Gomez,Calm Down,13,4,22,,,,,3
6,up,ICEKIID & Artigeardit,Jumeirah,9,6,4,,,,,2
7,up,Calvin Harris & Ellie Goulding,Miracle,27,7,13,,,,,3
8,up,Tobias Rahim,Flyvende Faduma,11,1,44,,,,,2
9,up,andreas odbjerg,smugryger,18,9,10,,,,,2
10,down,Loreen,Tattoo,7,7,4,,,,,1
11,up,Tobias Rahim,STOR MAND (feat. andreas odbjerg),16,1,95,,,,,2
12,down,Ukendt Kunstner,Dansktop,3,2,4,,,,,2
13,down,Tobias Rahim,Orange,10,4,8,,,,,2
14,up,Lamin,Gode Dage Gode Drinks,25,9,44,,,,,2
15,up,Artigeardit,Spåkone,75,15,2,,,,,2
16,up,Harry Styles,As It Was,23,1,62,,,,,2
17,up,Pil,Dronning Af Månen,17,7,15,,,,,1
18,up,Ed Sheeran,Eyes Closed,21,4,11,,,,,2
19,down,Ukendt Kunstner,Gran Turismo,5,3,4,,,,,2
20,up,Blæst,All In (feat. Lamin),20,4,16,,,,,3
21,up,Blæst,Juice,30,6,46,,,,,3
22,up,David Kushner,Daylight,22,8,8,,,,,2
23,up,Guldimund,Det' Kun Vigtigt Hvad Det Er,24,10,10,,,,,2
24,up,Tobias Rahim,Feberdrømmer Xx Dubai,39,1,53,,,,,2
25,up,andreas odbjerg,hjem fra fabrikken,29,1,66,,,,,2
26,up,Lamin,Baddies & Draris,28,26,3,,,,,2
27,up,Taylor Swift,Anti-Hero,34,1,33,,,,,1
28,up,OneRepublic,I Ain't Worried,48,11,47,,,,,2
29,down,Ukendt Kunstner,Stjernekigger,8,5,4,,,,,2
30,down,Ukendt Kunstner,For Livet,12,9,4,,,,,2
31,up,Kesi,Blå Himmel (feat. Hans Philip),36,1,100,,,,,2
32,down,Ukendt Kunstner,Hele Dagen,15,7,4,,,,,2
33,up,Tiësto & Tate McRae,10:35,58,24,22,,,,,3
34,up,Lamin & ICEKIID,Hvad Skal Der Ske,40,12,36,,,,,2
35,down,TopGunn,For Altid,32,2,18,,,,,2
36,up,Tobias Rahim,Mucki Bar,44,1,69,,,,,2
37,up,Ida Laurberg,Terrier,38,20,14,,,,,1
38,up,Stepz & Gilli,Fast Life,82,38,2,,,,,2
39,up,Ed Sheeran,Shivers,57,1,88,,,,,2
40,-,Dua Lipa,Dance The Night,-,1,1,,,,,1
41,down,Ukendt Kunstner,Fastelavn,14,4,4,,,,,2
42,down,David Guetta & Bebe Rexha,I'm Good (Blue),35,2,41,,,,,3
43,up,Clara,Oh My God,43,25,12,,,,,1
44,up,The Weeknd,Blinding Lights,51,1,178,94,2019-12-01,1,2020-03-01,2
45,down,Benny Jamz & Gilli,Tudo Bem,37,18,5,,,,,2
46,up,Lewis Capaldi,Forget Me,52,24,27,,,,,2
47,up,Artigeardit & Kesi,Er Her,50,2,90,,,,,2
48,up,Tessa,Ding Dong,84,48,2,,,,,1
49,up,Tobias Rahim,ALIVE ALIVE ALIVE,59,10,22,,,,,2
50,down,Ukendt Kunstner,Hena,19,8,4,,,,,2
51,down,The Minds Of 99,Under Din Sne,42,2,83,,,,,2
52,up,Artigeardit & Lamin,Vågen,55,7,50,,,,,2
53,up,Lil Durk,All My Life (feat. J. Cole),90,51,3,,,,,2
54,down,SZA,Kill Bill,45,3,25,,,,,1
55,up,FIFTY FIFTY,Cupid (Twin Version),56,50,4,,,,,1
56,up,Benny Jamz & Gilli & Kesi,Ibiza (feat. B.O.C),61,1,93,,,,,2
57,up,Kesi,Kom Over,63,30,12,,,,,2
58,down,Ukendt Kunstner,Aerosol,26,11,4,,,,,2
59,up,andreas odbjerg,i morgen er der også en dag,78,7,107,,,,,2
60,down,Bad Bunny,WHERE SHE GOES,33,33,3,,,,,2
61,down,Gobs,Frie Fugle (feat. Hjalmer),54,20,17,,,,,2
62,down,Ukendt Kunstner,Kerosin,31,13,4,,,,,2
63,-,David Guetta & Anne-Marie & Coi Leray,Baby Don't Hurt Me,-,49,1,,,,,3
64,down,Ed Sheeran,Perfect,62,23,61,73,2019-10-06,58,2019-10-20,2
65,up,Gilli & Saveus,Verden Vågner,73,6,35,,,,,2
66,-,Dave & Central Cee,Sprinter,-,1,1,,,,,2
67,-,Tobias Rahim,Vi 1,-,2,1,,,,,2
68,-,The Weeknd & Playboi Carti & Madonna,Popular,-,15,1,,,,,3
69,up,Lost Frequencies & Calum Scott,Where Are You Now,87,7,71,,,,,2
70,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),68,4,90,,,,,3
71,down,Lewis Capaldi,Wish You The Best,66,66,3,,,,,2
72,-,Lamin,Som Forleden,-,7,1,,,,,2
