Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,David Guetta & Bebe Rexha,I'm Good (Blue),1,1,6,,,,,3
2,up,Sam Smith & Kim Petras,Unholy,65,2,2,,,,,3
3,up,Beathoven,PRIMADONNA,70,3,2,,,,,2
4,down,Kaizers Orchestra,Hjerteknuser,2,1,5,,,,,2
5,up,Marstein,Frida Kahlo,69,2,2,,,,,2
6,down,Karpe,PAF.no,4,1,36,,,,,2
7,up,OneRepublic,I Ain't Worried,7,4,16,,,,,2
8,up,Astrid S,Come First,64,8,2,,,,,1
9,down,Harry Styles,As It Was,3,1,27,,,,,2
10,down,Ballinciaga & David Mokel,Dans På Bordet,5,1,34,,,,,2
11,down,UNDERGRUNN,Italia,8,1,26,,,,,2
12,down,Rosa Linn,SNAP,6,6,8,,,,,1
13,down,Beathoven & Capow x 2G,SØR-AFRIKA,9,1,17,,,,,2
14,up,Jon Ranes,Blod,93,14,2,,,,,2
15,up,El Papi,Hjerteløs,28,15,3,,,,,2
16,down,Ballinciaga & Kamelen,Fakk Min X,10,5,7,,,,,2
17,down,Chris Brown,Under the Influence,13,11,9,,,,,2
18,down,Steve Lacy,Bad Habit,11,11,12,,,,,2
19,down,Brødrene Bausa & Ginger Joe & Thomskalle,Mawbys,16,15,11,,,,,2
20,up,Dean Lewis,How Do I Say Goodbye,32,10,4,,,,,2
21,down,Elton John & Britney Spears,Hold Me Closer,14,9,6,,,,,3
22,up,Tom Odell,Another Love,26,12,47,,,,,2
23,down,Selma Ibrahim,BlimE! - Den Ene,18,10,17,,,,,1
24,down,Lewis Capaldi,Forget Me,15,15,4,,,,,2
25,down,Ghost,Mary on a Cross,22,16,7,,,,,2
26,down,Oven,Ensom,17,14,6,,,,,2
27,down,Alesso & Zara Larsson,Words,24,12,23,,,,,3
28,down,Broiler & Kamelen & Emma Steinbakken,BAP,21,11,9,,,,,3
29,down,Elov & Beny & Sofie Svensson & Dom Där,BUBBEL PÅ BALKONGEN,20,9,11,,,,,3
30,up,Harry Styles,Late Night Talking,83,3,19,,,,,2
31,down,Ballinciaga & Kris Winther,Beklager (Guttaklubben),30,3,27,,,,,2
32,down,Karpe,BigPapaGoat_v4_4130422.wav (feat. Jonas Benyoub),19,6,9,,,,,2
33,down,Joji,Glimpse of Us,27,7,16,,,,,2
34,down,Broiler,åtte shots (feat. Papito MIERDA),23,12,7,,,,,2
35,down,Ramon,jeg elsker deg men,25,11,7,,,,,2
36,down,Kygo & Gryffin & Calum Scott,Woke Up in Love,12,12,4,,,,,2
37,up,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),86,31,2,,,,,2
38,down,Vinni,glorie,31,6,40,,,,,2
39,down,TALK,Run Away to Mars,29,27,6,,,,,2
40,up,Marstein,La Bohème,87,40,2,,,,,2
41,up,Thrife,SEVILLA,48,41,3,,,,,2
42,down,b.G & Blond Juan,All Night (Bar 2023) (feat. Draken & Slim Shahin & Bølla),33,21,8,,,,,2
43,up,Ruben,Cry You a River,88,43,2,,,,,2
44,up,Omar Apollo,Evergreen,80,39,2,,,,,2
45,down,The Weeknd,Blinding Lights,42,1,146,94,2019-12-01,1,2020-03-01,2
46,up,Beach Weather,Sex  Drugs Etc.,47,46,6,,,,,2
47,down,Karpe,KENYA (Live from DY Patil Stadium Mumbai),41,3,32,,,,,2
48,down,Nicki Minaj,Super Freaky Girl,34,14,8,,,,,1
49,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),39,6,59,,,,,3
50,down,Kevin Lauren & BEK & Moberg,HAALAND,37,26,7,,,,,2
51,up,Eliza Rose & Interplanetary Criminal,B.O.T.A. (Baddest of Them All) - Edit,55,51,3,,,,,3
52,down,Coldplay,Viva La Vida,44,8,24,,,,,2
53,down,Roc Boyz,Creem 2022,52,3,21,,,,,2
54,down,Halva Priset & Maria Mena,Den fineste Chevy'n,49,4,82,,,,,3
55,down,Glass Animals,Heat Waves,53,2,66,75,2021-02-28,71,2021-03-07,2
56,down,Benson Boone,In The Stars,43,7,23,,,,,2
57,down,Kamelen,Creme De La Creme,46,29,45,,,,,2
58,-,Erika Norwich,Til lillebror,-,38,1,,,,,1
59,up,Sebastian Zalo,Alle roser (feat. Olivia Lobato),61,59,3,,,,,3
60,down,Ed Sheeran,Perfect,50,33,16,73,2019-10-06,58,2019-10-20,2
61,-,The Neighbourhood,Sweater Weather,-,52,3,77,2021-01-10,63,2021-02-07,2
62,up,Fleetwood Mac,Go Your Own Way,71,45,14,,,,,3
63,-,Beyoncé,CUFF IT,-,13,5,,,,,1
64,up,Ed Sheeran,Bad Habits,66,1,67,,,,,2
65,down,Central Cee,Doja,54,19,11,,,,,2
66,down,The Kid LAROI & Justin Bieber,Stay,57,1,65,,,,,2
67,up,Kevin Lauren & Ballinciaga,TANTE,85,5,31,,,,,2
68,down,Sia,Unstoppable,58,45,17,81,2019-11-10,81,2019-11-10,1
69,up,The Weeknd,Starboy (feat. Daft Punk),77,39,5,,,,,2
70,up,Maria Mena,It Was Love,89,70,2,,,,,1
71,-,Coolio,Gangsta's Paradise (feat. L.V.),-,36,1,,,,,2
72,up,Alawee,Aktiverad,95,68,2,,,,,2
73,down,Broiler & Sofiloud,OMG,35,6,16,,,,,3
74,up,Marstein,Clarissa,96,74,2,,,,,2
75,down,Oxlade,KU LO SA - A COLORS SHOW,38,38,4,,,,,2
76,up,Karpe,Spis Din Syvende Sans,79,24,8,,,,,2
77,-,Billie Eilish,everything i wanted,-,1,78,53,2019-11-17,3,2019-11-24,1
78,-,Billie Eilish,when the party's over,-,21,56,99,2019-12-29,27,2020-02-02,1
79,up,Montell Fish,Hotel,90,79,2,,,,,2
80,down,Lizzo,About Damn Time,60,9,25,,,,,1
81,-,Ramon,menn som meg,-,8,1,,,,,2
82,-,Jon Ranes,Tusen tanker,-,82,1,,,,,2
83,down,BLACKPINK,Shut Down,36,36,3,,,,,1
84,-,Ramon,ok jeg lover,-,1,25,,,,,2
85,-,Marstein,Santo Spirito,-,85,1,,,,,2
86,up,Emma Steinbakken,Jeg glemmer deg aldri (fra Rådebank),91,1,74,,,,,1
87,-,Arctic Monkeys,I Wanna Be Yours,-,55,1,,,,,2
88,-,Ed Sheeran,Celestial,-,17,1,,,,,2
89,-,Greekazo & Yei Gonzalez & 1.Cuz,FÖRSENT,-,77,1,,,,,2
90,down,Roc Boyz,Bonanza (feat. Greekazo),75,3,28,,,,,2
91,down,AIBA,Jeg Vet,62,59,4,,,,,2
92,down,Tove Lo,2 Die 4,56,26,9,,,,,1
93,down,Rolffa,Hjerteknuser,59,30,5,,,,,2
94,-,Marstein,Paradiso (feat. Arif),-,94,1,,,,,2
95,-,Alan Walker & Trevor Daniel,Extremes,-,47,1,,,,,2
96,-,Karpe,Lett Å Være Rebell I Kjellerleiligheten Din,-,40,12,,,,,2
97,down,Röyksopp,Oh Lover (feat. Susanne Sundfør),40,26,7,,,,,3
98,down,Beathoven & Henrik von Grogg,STAY KEEG,94,1,23,,,,,2
99,down,Calvin Harris & Dua Lipa,One Kiss,92,43,18,,,,,3
100,-,Ed Sheeran,Shivers,-,2,55,,,,,2
