Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Lauren Spencer-Smith,Fingers Crossed,1,1,4,,,,,1
2,up,Gayle,abcdefu,4,2,11,,,,,1
3,up,Adele,Easy On Me,3,1,16,,,,,1
4,down,Anna of the North & Hver gang vi møtes,Shotgun,2,2,4,,,,,3
5,up,The Weeknd,Sacrifice,5,1,4,,,,,2
6,up,TIX & Hver gang vi møtes,Jente i Oslo (Øystein Greni sin dag),7,6,5,,,,,3
7,up,Imagine Dragons & JID & League of Legends,Enemy,8,7,8,,,,,2
8,up,AURORA,A Temporary High,57,8,2,,,,,1
9,up,Carolina Gaitan & Mauro Castillo & Adassa & Rhenzy Feliz & Diane Guerrero & Stephanie Beatriz & Encanto - Cast,We Don't Talk About Bruno,17,8,4,,,,,3
10,up,Shawn Mendes,It'll Be Okay,13,10,8,,,,,2
11,down,The Kid LAROI & Justin Bieber,Stay,6,1,30,,,,,2
12,down,Astrid S & Dagny,Pretty,9,4,8,,,,,1
13,down,Jørgen Dahl Moe,Dancing In The Dark (Live),10,10,3,,,,,2
14,up,Chris Holsten,Høyt over havet,78,14,2,,,,,2
15,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),16,6,24,,,,,3
16,up,Griff & Sigrid,Head on Fire,74,16,2,,,,,1
17,down,Ed Sheeran,Shivers,12,2,21,,,,,2
18,up,The Neighbourhood,Softcore,18,18,3,,,,,2
19,down,Ed Sheeran,Bad Habits,14,1,32,,,,,2
20,up,Alan Walker & Benjamin Ingrosso,Man On The Moon,20,10,10,,,,,2
21,up,Benson Boone,GHOST TOWN,22,2,15,,,,,2
22,down,David Kushner,Miserable Man,19,19,4,,,,,2
23,-,Karpe,PAF.no,-,1,1,,,,,2
24,-,Karpe,IBOPROFEN,-,2,1,,,,,2
25,down,Glass Animals,Heat Waves,23,2,31,75,2021-02-28,71,2021-03-07,2
26,down,The Weeknd,Take My Breath,11,6,4,,,,,2
27,down,The Weeknd,Blinding Lights,21,1,113,94,2019-12-01,1,2020-03-01,2
28,down,AURORA,A Dangerous Thing,24,24,3,,,,,1
29,up,Highasakite,Mother,53,8,3,,,,,3
30,down,Jaymes Young,Infinity,28,26,7,,,,,2
31,down,Acraze,Do It To It (feat. Cherish),27,27,9,,,,,3
32,down,Halva Priset & Maria Mena,Den fineste Chevy'n,31,4,47,,,,,3
33,up,Charlie Puth,Light Switch,98,22,2,,,,,2
34,up,Vinni,glorie,38,6,5,,,,,2
35,down,NorthKid,Someone,26,11,3,,,,,2
36,up,AURORA,Everything Matters (feat. Pomme),61,36,2,,,,,1
37,up,AURORA,Giving In To The Love,50,35,6,,,,,1
38,up,Frank Ocean,Lost,41,15,2,,,,,2
39,down,gangCBang,Suksé 2022 (Hjemmesmæck),35,35,4,,,,,2
40,up,Paloma Faith,Only Love Can Hurt Like This,48,40,3,,,,,1
41,-,Morgan Sulele,Da det var oss,-,40,1,,,,,2
42,down,The Weeknd,Gasoline,15,7,4,,,,,2
43,down,Chris Holsten,Smilet i ditt eget speil,36,5,47,,,,,2
44,down,Julie Bergan,Second Hand Love (feat. Ruben),30,19,9,,,,,3
45,up,AURORA,Cure For Me,64,19,10,,,,,1
46,-,Karpe,IBN ADAM,-,3,1,,,,,2
47,-,Karpe,SALMALAKS,-,3,1,,,,,2
48,down,Gunna & Future,pushin P (feat. Young Thug),25,25,4,,,,,2
49,down,Tiësto & Ava Max,The Motto,29,14,13,,,,,3
50,up,AURORA,The Forbidden Fruits of Eden,58,50,2,,,,,1
51,up,AURORA,Heathens,55,51,2,,,,,1
52,-,Karpe & Jonas Benyoub & Emilie Nicolas,BARAF/FAIRUZ (feat. Harpreet Bansal),-,5,1,,,,,3
53,-,Karpe, KENYA (Live from DY Patil Stadium Mumbai),-,3,1,,,,,2
54,down,Adele,Oh My God,33,2,11,,,,,1
55,down,Martine Lunde,F*****y,39,23,7,,,,,1
56,down,Jessica Darrow,Surface Pressure,46,46,4,,,,,1
57,down,Hagle & Ringnes-Ronny,Medbrakt,47,47,3,,,,,2
58,up,AURORA,You Keep Me Crawling,67,58,2,,,,,1
59,down,Alesso & Katy Perry,When I'm Gone,34,23,4,,,,,3
60,-,Highasakite,I Just Moved Here,-,14,1,,,,,3
61,up,AURORA,Exist For Love,71,38,8,,,,,1
62,up,AURORA,The Innocent,73,62,2,,,,,1
