Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
88,-,Highasakite & Hver gang vi møtes,Break it right,-,8,1,,,,,3
89,-,Lillebjørn Nilsen,Ola Tveiten,-,89,1,,,,,2
90,up,XXXTENTACION,Train food,93,67,6,,,,,2
91,down,Sivert Høyem,On An Island,81,81,2,,,,,2
92,-,Eminem,The Real Slim Shady,-,84,1,,,,,2
93,-,Eminem,Mockingbird,-,17,29,,,,,2
94,-,Marcus & Martinus,We Are Not The Same (feat. bbno$),-,94,1,,,,,2
95,down,Coldplay,Adventure of a Lifetime,82,31,9,,,,,2
96,down,Sivert Høyem,Two Green Feathers,84,84,2,,,,,2
97,down,Loreen,Tattoo,80,1,46,,,,,1
98,-,Lillebjørn Nilsen,Bysommer,-,98,1,,,,,2
99,down,Ed Sheeran,Shape of You,79,40,60,94,2020-01-05,94,2020-01-05,2
100,-,Lillebjørn Nilsen,Se Alltid Lyst På Livet,-,100,1,,,,,2
