Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,The Weeknd,Blinding Lights,1,1,10,94,2019-12-01,1,2020-03-01,2
2,up,Herman Flesvig,Haugenstua,2,1,3,,,,,2
3,up,Eminem,Godzilla (feat. Juice WRLD),3,3,3,84,2020-01-19,12,2020-01-26,2
4,up,Billie Eilish,everything i wanted,6,1,12,53,2019-11-17,3,2019-11-24,1
5,up,Tones and I,Dance Monkey,5,1,13,6,2019-10-06,1,2019-11-10,1
6,down,Roddy Ricch,The Box,4,4,8,91,2019-12-08,2,2020-02-16,2
7,up,Dua Lipa,Don't Start Now,8,2,13,19,2019-11-03,3,2020-01-05,1
8,up,Billie Eilish,bad guy,19,5,13,5,2019-10-06,5,2019-10-06,1
9,up,Lewis Capaldi,Someone You Loved,9,3,13,4,2019-10-06,4,2019-10-06,2
10,down,Future,Life Is Good (feat. Drake),7,7,4,86,2020-01-12,6,2020-01-19,2
11,up,Justin Bieber,Yummy,11,9,5,86,2020-01-05,3,2020-01-12,2
12,up,JP Saxe,If the World Was Ending (feat. Julia Michaels),13,11,13,99,2020-01-12,49,2020-06-21,3
13,down,Maroon 5,Memories,10,3,13,36,2019-10-06,2,2019-11-17,2
14,up,Kygo,Forever Yours (Avicii Tribute),76,14,2,75,2020-01-26,65,2020-02-02,2
15,up,Lewis Capaldi,Before You Go,17,13,11,45,2019-11-24,10,2020-08-30,2
16,up,Trevor Daniel,Falling,18,7,12,61,2019-11-24,14,2020-01-05,2
17,up,Harry Styles,Adore You,25,13,9,24,2019-12-08,6,2020-04-19,2
18,down,Herman Flesvig,Satsebrakka 2020,14,9,4,,,,,2
19,down,Selena Gomez,Lose You to Love Me,15,2,13,53,2019-10-27,2,2019-11-03,1
20,up,Lady Gaga & Bradley Cooper,Shallow,24,9,13,25,2019-10-06,25,2019-10-06,3
21,up,Billie Eilish,when the party's over,49,21,13,99,2019-12-29,27,2020-02-02,1
22,up,Alan Walker & Ava Max,Alone Pt. II,40,22,5,,,,,3
23,up,Arizona Zervas,ROXANNE,23,3,11,14,2019-11-24,4,2019-12-22,2
24,down,Shawn Mendes & Camila Cabello,Señorita,22,8,13,1,2019-10-06,1,2019-10-06,3
25,down,Matthew Wilder,Break My Stride,12,12,3,,,,,2
26,up,Ava Max,Salt,70,17,2,91,2020-03-01,65,2020-04-19,1
27,up,Julie Bergan,Kiss Somebody (with Seeb),34,27,4,,,,,3
28,up,Lewis Capaldi,Bruises,28,28,11,,,,,2
29,up,SHAED & ZAYN,Trampoline,29,21,13,63,2019-10-06,63,2019-10-06,3
30,up,Olivia Rodrigo,All I Want,31,22,5,,,,,1
31,up,Ali Gatie,What If I Told You That I Love You,84,15,2,48,2020-02-02,48,2020-02-02,2
32,up,SAINt JHN,Roses (Imanbek Remix),50,5,3,97,2020-01-12,7,2020-05-10,2
33,up,YNW Melly,Suicidal,33,33,6,97,2019-12-01,25,2020-02-02,2
34,up,Halsey,You should be sad,38,21,2,74,2020-01-12,20,2020-02-16,1
35,down,Eminem,Those Kinda Nights (feat. Ed Sheeran),16,16,3,33,2020-01-19,26,2020-01-26,2
36,down,Camila Cabello,My Oh My (feat. DaBaby),35,17,8,52,2019-12-15,22,2020-02-02,3
37,up,Post Malone,Circles,39,9,13,2,2019-10-06,2,2019-10-06,2
38,up,Lady Gaga,Always Remember Us This Way,44,25,13,98,2019-10-13,90,2019-11-17,1
39,down,Kygo & Whitney Houston,Higher Love,37,16,13,22,2019-10-06,20,2019-10-13,3
40,down,Mac Miller,Good News,27,27,4,62,2020-01-12,21,2020-01-19,2
41,up,TIX,J****g,42,41,6,,,,,2
42,down,Lizzo,Good as Hell (feat. Ariana Grande) [Remix],30,12,13,25,2019-10-27,23,2019-11-24,1
43,up,Jonas Brothers,What a Man Gotta Do,60,43,2,53,2020-01-19,21,2020-01-26,2
44,-,Billie Eilish,bury a friend,-,44,7,,,,,1
45,down,Selena Gomez,Rare,43,18,4,96,2020-01-12,13,2020-01-19,1
46,up,Harry Styles,Watermelon Sugar,46,4,11,85,2019-11-17,2,2020-08-23,2
47,up,Astrid S,Years,67,34,5,,,,,1
48,up,Doja Cat,Say So,77,13,3,100,2020-02-02,6,2020-05-03,1
49,down,The Chainsmokers & Kygo,Family (with Kygo),36,24,8,,,,,2
50,down,Eminem,Unaccommodating (feat. Young M.A),20,20,3,43,2020-01-19,30,2020-01-26,3
51,down,Eminem,You Gon' Learn (feat. Royce da 5'9 & White Gold),26,26,3,50,2020-01-19,38,2020-01-26,2
52,up,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),54,38,9,64,2019-12-01,52,2020-01-12,2
53,-,Billie Eilish & Khalid,lovely,-,53,6,62,2020-02-02,62,2020-02-02,3
54,down,Don Toliver,No Idea,52,29,9,95,2019-12-08,26,2020-01-12,2
55,down,Juice WRLD & YoungBoy Never Broke Again,Bandit,53,19,13,25,2019-10-13,16,2019-12-15,2
56,-,Billie Eilish,ocean eyes,-,53,3,67,2019-12-29,67,2019-12-29,1
57,up,DaBaby,VIBEZ,73,56,5,59,2019-11-10,57,2020-01-19,2
58,down,blackbear,hot girl bummer,41,10,13,75,2019-10-06,24,2019-11-10,2
59,down,K-391 & Alan Walker & Martin Tungevaag,Play (feat. Mangoo),45,9,13,,,,,2
60,down,Nea,Some Say,47,18,13,84,2020-03-01,84,2020-03-01,1
61,up,Harry Styles,Falling,89,32,7,57,2019-12-15,39,2019-12-22,2
62,up,Raylee,Wild,87,25,2,,,,,1
63,up,Roddy Ricch,High Fashion (feat. Mustard),74,55,4,78,2019-12-15,22,2020-02-16,2
64,down,Eminem,Darkness,21,21,3,42,2020-01-19,35,2020-01-26,2
65,down,Ed Sheeran & Justin Bieber,I Don't Care,63,35,9,31,2019-10-06,23,2019-11-17,2
66,up,Surfaces,Sunday Best,88,20,2,96,2020-03-01,27,2020-04-26,2
67,up,BROCKHAMPTON,SUGAR,83,60,4,81,2020-01-12,59,2020-02-02,2
68,down,Isah & Dutty Dior,HALLO,65,21,13,,,,,2
69,up,Lisa Stokke & AURORA,I Ukjent Land,93,55,5,,,,,1
70,down,BTS,Black Swan,62,62,2,25,2020-01-19,20,2020-01-26,2
71,down,Travis Scott,HIGHEST IN THE ROOM,57,7,13,35,2019-10-06,2,2019-10-13,2
72,-,Billie Eilish,you should see me in a crown,-,72,1,,,,,1
73,up,Mabel,Don't Call Me Up,92,49,7,95,2019-10-13,95,2019-10-13,1
74,down,Eminem,Leaving Heaven (feat. Skylar Grey),32,32,3,54,2020-01-19,52,2020-01-26,3
75,up,Mustard,Ballin’ (feat. Roddy Ricch),98,64,4,93,2019-11-10,19,2020-01-12,2
76,down,CLMD & Tungevaag,DANCE,55,46,5,,,,,3
77,down,Meduza & Becky Hill & GOODBOYS,Lose Control,75,64,8,87,2019-10-20,28,2019-12-08,3
78,up,Juice WRLD,Lucid Dreams,100,14,8,7,2019-12-15,7,2019-12-15,2
79,-,Billie Eilish,wish you were gay,-,79,1,,,,,1
80,down,Arif,Hvem Er Hun,59,20,13,,,,,2
81,-,Justin Bieber,Get Me (feat. Kehlani),-,81,1,50,2020-02-02,50,2020-02-02,3
82,-,Sam Fischer,This City,-,48,1,,,,,2
83,-,Robin Schulz,In Your Eyes (feat. Alida),-,40,1,95,2020-03-08,54,2020-04-05,3
84,down,Tungevaag,Knockout,78,47,5,,,,,2
85,-,Billie Eilish,all the good girls go to hell,-,85,1,96,2019-12-22,96,2019-12-22,1
86,-,Dua Lipa,Physical,-,7,1,48,2020-02-02,15,2020-04-12,1
87,-,Billie Eilish,i love you,-,79,1,,,,,1
88,up,Noah Cyrus,July,91,55,5,,,,,1
89,down,Herman Flesvig,Det er fredag,85,85,3,,,,,2
90,-,Victor Leksell,Svag,-,1,1,,,,,2
91,-,Ed Sheeran,Shape of You,-,40,5,94,2020-01-05,94,2020-01-05,2
92,down,Eminem,In Too Deep,48,48,3,58,2020-01-26,58,2020-01-26,2
93,-,Ole Paus,Hvitt lys (Dolphins farvel),-,93,1,,,,,2
94,down,Regard,Ride It,61,20,13,57,2019-10-06,13,2019-11-10,2
95,down,Highasakite,Can I Be Forgiven,86,11,13,,,,,3
96,-,Khalid,Eleven,-,84,2,,,,,2
97,-,Demi Lovato,Anyone,-,97,1,26,2020-02-02,26,2020-02-02,1
98,-,Dean Lewis,Be Alright,-,64,4,,,,,2
99,-,Sam Smith,How Do You Sleep?,-,26,9,8,2019-10-06,6,2019-10-13,2
100,-,Taylor Swift,Shake It Off,-,53,2,,,,,1
