Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,24kGoldn,Mood (feat. iann dior),1,1,7,33,2020-08-23,1,2020-10-11,2
2,up,Internet Money & Gunna,Lemonade (feat. Don Toliver & NAV),2,2,7,61,2020-08-23,8,2020-10-04,2
3,up,Astrid S,It's Ok If You Forget Me,6,3,3,,,,,1
4,down,Victor Leksell,Svag,3,1,36,,,,,2
5,down,Justin Bieber,Holy (feat. Chance the Rapper),4,4,3,83,2020-09-20,4,2020-09-27,2
6,up,Tate McRae,you broke me first,7,3,10,81,2020-08-23,15,2020-11-15,1
7,down,Cardi B,WAP (feat. Megan Thee Stallion),5,2,9,80,2020-08-09,1,2020-08-16,1
8,up,Victor Sotberg,BlimE! - Ser Deg,8,6,7,,,,,2
9,up,Kygo & Donna Summer,Hot Stuff,12,9,3,,,,,3
10,down,Conan Gray,Heather,9,4,8,44,2020-08-23,15,2020-09-13,2
11,up,Pop Smoke,For the Night (feat. Lil Baby & DaBaby),11,8,14,74,2020-07-05,5,2020-07-12,2
12,up,Dagny,Somebody,18,4,23,,,,,1
13,up,Pop Smoke,What You Know Bout Love,31,8,4,81,2020-07-12,14,2020-10-18,2
14,down,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),10,2,16,36,2020-06-21,2,2020-08-09,2
15,down,The Weeknd,Blinding Lights,13,1,45,94,2019-12-01,1,2020-03-01,2
16,up,BTS,Dynamite,22,12,7,96,2020-08-23,2,2020-08-30,2
17,up,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),65,17,2,87,2020-09-27,12,2020-10-04,3
18,up,Pop Smoke,Mood Swings (feat. Lil Tjay),20,9,14,54,2020-07-12,6,2020-08-09,2
19,down,Isah,Blitz,16,16,3,,,,,2
20,down,Harry Styles,Watermelon Sugar,19,4,36,85,2019-11-17,2,2020-08-23,2
21,down,Astrid S,Marilyn Monroe,14,6,7,,,,,1
22,down,Ava Max,Who's Laughing Now,15,15,10,,,,,1
23,up,Joel Corry,Head & Heart (feat. MNEK),32,19,9,99,2020-07-26,16,2020-09-20,2
24,up,Ritt Momney,Put Your Records On,54,15,2,95,2020-10-18,84,2020-11-01,2
25,up,Tones and I,Dance Monkey,28,1,48,6,2019-10-06,1,2019-11-10,1
26,down,Jason Derulo,Take You Dancing,25,21,8,71,2020-08-23,16,2021-01-17,2
27,down,Drake,Laugh Now Cry Later (feat. Lil Durk),17,3,8,78,2020-08-16,3,2020-08-23,2
28,down,Julie Bergan,One Touch,24,23,4,,,,,1
29,down,BØLGEN,Være Med Å Fly,21,21,3,,,,,2
30,down,El Papi,Igjen Og Igjen (feat. TIX),23,3,9,,,,,2
31,down,Miley Cyrus,Midnight Sky,26,16,8,14,2020-08-23,12,2020-10-25,1
32,up,salem ilese,Mad at Disney,33,31,4,87,2020-09-20,56,2020-09-27,1
33,down,Lewis Capaldi,Someone You Loved,27,3,36,4,2019-10-06,4,2019-10-06,2
34,up,Sam Smith,Diamonds,36,29,3,51,2020-09-27,18,2020-11-15,2
35,down,Kygo & OneRepublic,Lose Somebody,30,6,21,86,2020-06-07,80,2020-07-05,2
36,down,Topic,Breaking Me (feat. A7S),29,9,18,94,2020-03-01,8,2020-08-16,2
37,up,Dagny,It's Only A Heartbreak,48,28,5,,,,,1
38,up,Chris Holsten & Frida Ånnevik,Hvis verden,56,19,21,,,,,3
39,down,Ava Max,Kings & Queens,34,12,30,80,2020-03-15,37,2020-09-27,1
40,down,Lewis Capaldi,Before You Go,39,13,46,45,2019-11-24,10,2020-08-30,2
41,up,Clean Bandit & Mabel,Tick Tock (feat. 24kGoldn),51,38,4,99,2020-10-11,61,2020-11-01,3
42,up,Lady Gaga & Bradley Cooper,Shallow,52,9,48,25,2019-10-06,25,2019-10-06,3
43,down,Labrinth,Still Don't Know My Name,38,28,7,,,,,2
44,down,BØLGEN,Er ikke verre,40,2,14,,,,,2
45,down,Seeb & St. Lundi,Colourblind,35,34,4,,,,,2
46,down,DaBaby,ROCKSTAR (feat. Roddy Ricch),44,3,25,79,2020-04-19,1,2020-07-05,2
47,up,Tungevaag & Rat City,Afterparty (feat. Rich The Kid),89,47,2,,,,,2
48,down,Skinny Days & CLMD,Voices In My Head,41,36,4,,,,,2
49,down,Lady Gaga & Ariana Grande,Rain On Me,43,4,20,75,2020-05-24,1,2020-05-31,1
50,up,Dua Lipa,Don't Start Now,53,2,48,19,2019-11-03,3,2020-01-05,1
51,up,JP Saxe,If the World Was Ending (feat. Julia Michaels),59,11,48,99,2020-01-12,49,2020-06-21,3
52,up,Billie Eilish,bad guy,60,5,48,5,2019-10-06,5,2019-10-06,1
53,up,twocolors,Lovefool,74,53,2,,,,,2
54,down,Marshmello & Demi Lovato,OK Not To Be OK,46,35,4,86,2020-09-20,86,2020-09-20,3
55,up,Ava Max,Salt,57,17,37,91,2020-03-01,65,2020-04-19,1
56,-,Shawn Mendes,Wonder,-,10,1,15,2020-10-11,15,2020-10-11,2
57,-,21 Savage & Metro Boomin,Mr. Right Now (feat. Drake),-,28,1,77,2020-10-04,17,2020-10-11,2
58,down,Juice WRLD & Marshmello,Come & Go,49,10,13,4,2020-07-19,4,2020-07-19,2
59,down,El Papi,VOGUE,55,55,2,,,,,2
60,-,BLACKPINK,Lovesick Girls,-,39,1,3,2020-10-11,3,2020-10-11,1
61,-,21 Savage & Metro Boomin,Runnin,-,42,1,89,2020-10-04,19,2020-10-11,2
62,-,Dagny,Moment,-,8,1,,,,,1
63,up,Elephon,Bag Bag Bag,70,52,14,,,,,2
64,up,Komo,Offline Download,79,56,6,,,,,2
65,up,Caterpillar Joe,Mongo Bongo,69,55,8,,,,,2
66,down,Odd Nordstoga,Fatig ferdamann,42,42,3,,,,,2
67,down,Pop Smoke,Hello (feat. A Boogie wit da Hoodie),58,56,4,,,,,2
68,up,Komo,Snowmobile Vehicle,77,49,7,,,,,2
69,down,DJ Khaled,POPSTAR (feat. Drake),45,35,12,94,2020-07-19,8,2020-09-20,2
70,down,SAINt JHN,Roses (Imanbek Remix),63,5,38,97,2020-01-12,7,2020-05-10,2
71,up,girl in red,Rue,72,47,6,,,,,1
72,down,Kamelen,Tilbake I City,47,23,5,,,,,2
73,-,21 Savage & Metro Boomin,Glock in My Lap,-,62,1,94,2020-10-04,42,2020-10-11,2
74,-,21 Savage & Metro Boomin,Rich N***a Shit (feat. Young Thug),-,66,1,47,2020-10-11,47,2020-10-11,2
75,-,21 Savage & Metro Boomin,Many Men,-,75,1,59,2020-10-11,59,2020-10-11,2
76,-,21 Savage & Metro Boomin,Slidin,-,76,1,62,2020-10-11,62,2020-10-11,2
77,-,BLACKPINK,Pretty Savage,-,77,1,22,2020-10-11,22,2020-10-11,1
78,down,Komo,Rob Mr. Heavy,76,58,6,,,,,2
79,down,Komo,Perk an Emotion,73,55,6,,,,,2
80,down,Komo,Outcoming of Outwear,71,49,7,,,,,2
81,up,Komo,Round Wave Showtime,90,57,5,,,,,2
82,down,Komo,Rainer Worldwide,80,63,4,,,,,2
83,down,Juice WRLD,Wishing Well,68,44,13,13,2020-07-19,13,2020-07-19,2
84,down,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),67,9,14,17,2020-07-01,22,2020-07-12,2
85,-,BLACKPINK,Bet You Wanna (feat. Cardi B),-,85,1,24,2020-10-11,24,2020-10-1,1
86,up,Komo,Ways In Always,93,70,4,,,,,2
87,-,21 Savage & Metro Boomin,Snitches & Rats (feat. Young Nudy),-,87,1,,,,,2
88,-,Dagny,Come Over,-,26,18,,,,,1
89,-,21 Savage & Metro Boomin,My Dawg,-,89,1,,,,,2
90,down,The Flunky Flakes,Bravo De Mu,81,72,11,,,,,2
91,-,Mansow,Trace of Forward,-,91,1,,,,,2
92,-,Mansow,Mansow Too,-,82,1,,,,,2
93,-,BLACKPINK,Crazy Over You,-,93,1,37,2020-10-11,37,2020-10-11,1
94,down,Komo,Greenprint of Blueprint,84,60,5,,,,,2
95,-,Marcus & Martinus,Love You Less,-,21,1,,,,,2
96,down,Kygo & Tina Turner,What's Love Got to Do with It,37,6,12,83,2020-09-06,57,2020-09-20,3
97,-,21 Savage & Metro Boomin,Brand New Draco,-,97,1,,,,,1
98,down,Billie Eilish,everything i wanted,61,1,47,53,2019-11-17,3,2019-11-24,1
99,down,Pop Smoke,Got It on Me,91,22,13,25,2020-07-12,25,2020-07-12,2
100,down,Komo,Globe On Week,95,58,5,,,,,2
