Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,The Kid LAROI & Justin Bieber,Stay,1,1,13,,,,,2
2,up,Glass Animals,Heat Waves,3,2,14,75,2021-02-28,71,2021-03-07,2
3,up,Ed Sheeran,Shivers,6,2,4,,,,,2
4,up,Ed Sheeran,Bad Habits,4,1,15,,,,,2
5,down,Lil Nas X & Jack Harlow,INDUSTRY BABY,2,2,11,,,,,2
6,down,Lil Nas X,THATS WHAT I WANT,5,5,3,,,,,2
7,up,Billie Eilish,Happier Than Ever,8,3,10,,,,,1
8,up,Coldplay X BTS,My Universe,63,7,2,,,,,2
9,down,ABBA,Don't Shut Me Down,7,2,5,,,,,3
10,up,Olivia Rodrigo,good 4 u,10,1,21,,,,,1
11,up,Chris Holsten,Bak en fasade,13,7,3,,,,,2
12,down,Sam Smith,Like I Can,9,9,7,,,,,2
13,down,Halva Priset & Maria Mena,Den fineste Chevy'n,12,4,31,,,,,3
14,down,Kanye West,Hurricane,11,1,5,,,,,2
15,up,Nicolay Ramm,BlimE! – Dynamitt,18,10,7,,,,,2
16,up,Doja Cat,Woman,16,7,9,,,,,1
17,down,Drake,Way 2 Sexy (feat. Future & Young Thug),14,10,5,,,,,2
18,up,Gabry Ponte & LUM!X & Prezioso,Thunder,25,11,8,,,,,2
19,down,Chris Holsten,Smilet i ditt eget speil,15,5,30,,,,,2
20,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),29,6,7,,,,,3
21,down,BaseBoys,Level 1000,19,15,4,,,,,2
22,down,Alan Walker & Jamie Miller,Running Out of Roses,17,17,4,,,,,2
23,down,Chris Holsten,Bare når det regner,20,10,15,,,,,2
24,up,Alan Walker & K-391 & Boy In Space,Paradise,74,18,2,,,,,2
25,up,Oliver Tree,Life Goes On,31,18,3,,,,,2
26,down,The Weeknd,Take My Breath,22,4,9,,,,,2
27,up,THE ANXIETY & WILLOW & Tyler Cole,Meet Me At Our Spot,34,27,3,,,,,3
28,down,Drake,Fair Trade (feat. Travis Scott),23,7,5,,,,,2
29,down,A36,Samma gamla vanliga,27,10,13,,,,,2
30,down,The Weeknd,Blinding Lights,26,1,97,94,2019-12-01,1,2020-03-01,2
31,down,Lil Nas X,MONTERO (Call Me By Your Name),21,2,27,3,2021-04-04,3,2021-04-04,2
32,down,Kygo,Love Me Now (feat. Zoe Wees),24,6,8,,,,,3
33,up,CKay,Love Nwantiti (Ah Ah Ah),62,10,2,,,,,2
34,down,Sigrid,Burning Bridges,32,31,6,,,,,1
35,down,Emma Steinbakken,Sorry,33,31,4,,,,,1
36,up,Becky Hill,Remember (Acoustic),36,36,3,,,,,1
37,down,Doja Cat,Need To Know,28,18,11,,,,,1
38,up,Dj Yo!,Love Nwantiti (feat. Ckay & AX'EL) [Remix],56,32,3,,,,,2
39,up,Henrik,Når Jeg Ser På Deg,40,39,3,,,,,2
40,up,Taylor Swift,Wildest Dreams (Taylor's Version),45,40,2,,,,,1
41,down,Gabrielle,ting som ILU,38,38,4,,,,,1
42,-,Billie Eilish,Bored,-,30,1,,,,,1
43,down,Dagny,Somebody,41,4,75,,,,,1
44,up,Victoria Nadine,Strangers Again,46,38,6,,,,,1
45,up,Lost Frequencies & Calum Scott,Where Are You Now,75,16,2,,,,,2
46,down,Drake,Girls Want Girls (feat. Lil Baby),30,4,5,,,,,2
47,up,Joel Corry & Jax Jones & Charli XCX,OUT OUT (feat. Saweetie),53,44,5,,,,,3
48,up,Victor Leksell,Svag,51,1,87,,,,,2
