Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Lady Gaga & Bruno Mars,Die With A Smile,1,1,7,,,,,3
2,up,Billie Eilish,BIRDS OF A FEATHER,4,1,20,,,,,1
3,down,Sabrina Carpenter,Espresso,2,1,25,,,,,1
4,down,Sabrina Carpenter,Taste,3,2,6,,,,,1
5,up,Sabrina Carpenter,Please Please Please,5,1,17,,,,,1
6,up,Chappell Roan,Good Luck Babe!,6,6,15,,,,,1
7,up,Shaboozey,A Bar Song (Tipsy),8,3,23,,,,,2
8,up,Billie Eilish,WILDFLOWER,11,4,20,,,,,1
9,up,Hozier,Too Sweet,10,4,27,,,,,2
10,up,The Weeknd,Dancing In The Flames,13,10,3,,,,,2
11,down,Ballinciaga,Sigg,9,2,11,,,,,2
12,up,Teddy Swims,Bad Dreams,12,12,3,,,,,2
13,up,Teddy Swims,Lose Control,16,4,38,,,,,2
14,down,Roc Boyz,Talk My Shit,7,7,3,,,,,2
15,up,LINKIN PARK,The Emptiness Machine,15,6,4,,,,,3
16,up,Post Malone,I Had Some Help (feat. Morgan Wallen),20,5,21,,,,,2
17,down,Tate McRae,It's ok I'm ok,14,14,3,,,,,1
18,up,Benson Boone,Beautiful Things,19,1,37,,,,,2
19,up,Coldplay,Viva La Vida,21,8,121,,,,,2
20,down,Annika,Så længe jeg er sexy.,18,16,7,,,,,1
21,up,Disturbed,The Sound of Silence (CYRIL Remix),27,18,31,,,,,2
22,up,Kendrick Lamar,Not Like Us,25,1,21,,,,,2
23,down,Golfklubb,Sucker For Pain,22,16,17,,,,,2
24,up,Charli xcx & Billie Eilish,Guess featuring Billie Eilish,28,4,9,,,,,1
25,down,Arif Murakami & Stig Brenner,Let's Go,17,7,4,,,,,2
26,up,Gigi Perez,Sailor Song,34,3,3,,,,,2
