Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Billie Eilish,LUNCH,1,1,3,,,,,1
2,up,Billie Eilish,CHIHIRO,2,2,3,,,,,1
3,up,Sabrina Carpenter,Espresso,7,1,8,,,,,1
4,down,Billie Eilish,BIRDS OF A FEATHER,3,1,3,,,,,1
5,up,Shaboozey,A Bar Song (Tipsy),13,3,6,,,,,2
6,down,Billie Eilish,WILDFLOWER,4,4,3,,,,,1
7,up,Hozier,Too Sweet,15,4,10,,,,,2
8,down,Billie Eilish,BLUE,5,5,3,,,,,1
9,up,Taylor Swift,Fortnight (feat. Post Malone),10,1,7,,,,,3
10,up,Kendrick Lamar,Not Like Us,11,1,4,,,,,2
11,up,Benson Boone,Beautiful Things,16,1,20,,,,,2
12,down,Billie Eilish,THE GREATEST,9,9,3,,,,,1
13,down,Billie Eilish,L’AMOUR DE MA VIE,8,8,3,,,,,1
14,down,Billie Eilish,SKINNY,6,6,3,,,,,1
15,up,Tommy Richman,Million Dollar Baby,21,15,5,,,,,2
16,up,UNDERGRUNN,Tenke Sjæl,17,1,6,,,,,2
17,up,Bausa & Amara,Sølvskje,20,8,8,,,,,3
18,up,Teddy Swims,Lose Control,24,4,21,,,,,2
19,up,Post Malone,I Had Some Help (feat. Morgan Wallen),19,5,4,,,,,2
20,up,Artemas,i like the way you kiss me,23,4,10,,,,,2
21,down,Nemo,The Code,18,1,4,,,,,2
22,up,Beyoncé,TEXAS HOLD 'EM,26,1,16,,,,,1
23,down,Taylor Swift,Cruel Summer,22,5,50,,,,,1
24,up,Søte og Rare Gutter & Mannschaft,Bærum Bitches (Mannschaft),27,3,14,,,,,2
25,down,Billie Eilish,THE DINER,12,12,3,,,,,1
26,up,Central Cee & Lil Baby,BAND4BAND,89,15,2,,,,,2
27,up,Astrid S,Joyride,84,27,2,,,,,1
28,down,Taylor Swift,Down Bad,25,2,7,,,,,1
29,down,Billie Eilish,BITTERSUITE,14,14,3,,,,,1
30,down,Ariana Grande,we can't be friends (wait for your love),28,1,13,,,,,1
31,down,VC Barre & Golfklubb & Pablo Paz,SOLDAT (feat. takenoelz) [RMX],30,3,15,,,,,2
32,up,floyymenor & Cris Mj,Gata Only,48,32,8,,,,,2
33,up,The Weeknd,Blinding Lights,42,1,228,94,2019-12-01,1,2020-03-01,2
34,up,Olivia Rodrigo,vampire,88,1,44,,,,,1
35,down,Taylor Swift,I Can Do It With a Broken Heart,32,8,7,,,,,1
36,up,Dua Lipa,Training Season,38,9,16,,,,,1
37,down,Tigergutt101,Dans Med Meg,33,7,8,,,,,2
38,down,DJ Momo,Badebussen (feat. Kjartan Lauritzen),37,1,49,,,,,2
39,up,Disturbed,The Sound of Silence (CYRIL Remix),47,18,14,,,,,2
40,down,Taylor Swift,Who’s Afraid of Little Old Me?,31,7,7,,,,,1
41,up,Tate McRae,greedy,43,1,38,,,,,1
42,up,Dasha,Austin,45,15,12,,,,,1
43,down,Ballinciaga & Arif Murakami,baby,34,27,5,,,,,2
44,down,Taylor Swift,But Daddy I Love Him,36,4,7,,,,,1
45,down,Marcus & Martinus,Unforgettable,35,8,13,,,,,2
46,up,Kygo & Ava Max,Whatever,53,1,20,,,,,3
47,down,Coldplay,Viva La Vida,44,8,104,,,,,2
48,down,UNDERGRUNN,Italia,39,1,110,,,,,2
49,down,Joost,Europapa,29,8,4,,,,,2
50,up,Miley Cyrus,Flowers,50,1,72,,,,,1
51,up,Noah Kahan,Stick Season,68,10,20,,,,,2
52,down,Taylor Swift,The Tortured Poets Department,40,3,7,,,,,2
53,-,Eminem,Houdini,-,1,1,,,,,2
54,down,Future & Metro Boomin,Like That,49,4,11,,,,,2
55,up,Emma Steinbakken & Hver gang vi møtes,Floden,58,1,75,,,,,3
56,down,Roc Boyz & ORIO,Roc Boyz Freestyle,46,38,5,,,,,2
57,down,UNDERGRUNN,Superhelt Steez,41,5,6,,,,,2
58,up,Astrid S,Hot Fever Dream,78,58,4,,,,,1
59,up,Djo,End of Beginning,66,4,15,,,,,2
60,down,Øsen & Da Dønk Project,Feite Damer (The Broject),51,51,5,,,,,2
61,up,Mark Ambor,Belong Together,73,36,8,,,,,2
62,down,Taylor Swift,My Boy Only Breaks His Favorite Toys,60,5,7,,,,,1
63,down,Taylor Swift,So Long London,57,6,7,,,,,1
64,up,Kudos & Golfklubb,Haien Kommer (Sharkdog 2023),64,1,57,,,,,2
65,up,Myles Smith,Stargazing,99,27,2,,,,,2
66,down,Beathoven,Rockstar lie,55,55,3,,,,,2
67,down,Taylor Swift,Guilty as Sin?,65,11,7,,,,,1
68,down,Golfklubb & Avgvstvs,Helaften,62,54,4,,,,,2
69,-,Olivia Rodrigo,drivers license,-,1,43,1,2021-01-17,1,2021-01-17,1
70,down,Golfklubb,Casino,69,16,9,,,,,2
71,down,lille Caesar,hva om jeg slutta å bry meg,56,22,6,,,,,2
72,down,UNDERGRUNN,Michelin Stjerner,67,1,60,,,,,2
73,-,Gabrielle,Og eg lyger så det renner som en foss gjennom rommet,-,38,1,,,,,1
74,down,Dua Lipa,Houdini,70,6,30,,,,,1
75,-,Gabrielle,Synd synd synd,-,60,2,,,,,1
76,-,Olivia Rodrigo,bad idea right?,-,7,12,,,,,1
77,up,Zara Larsson,Lush Life,81,32,15,,,,,1
78,-,Gabrielle,Operahuset,-,38,5,,,,,1
79,-,Olivia Rodrigo,traitor,-,6,23,,,,,1
80,-,Olivia Rodrigo,good 4 u,-,1,48,,,,,1
81,-,Bargee,Brunette & Blondine (feat. Tyr),-,35,1,,,,,2
82,-,Gabrielle & Lars Vaular,Så easy,-,80,1,,,,,2
83,down,Taylor Swift,The Smallest Man Who Ever Lived,59,15,7,,,,,1
84,-,Roc Boyz,KrissyB,-,65,1,,,,,2
85,down,Ed Sheeran,Perfect,72,33,91,73,2019-10-06,58,2019-10-20,2
86,-,Olivia Rodrigo,get him back!,-,6,8,,,,,1
87,down,Postgirobygget,Idyll,61,52,13,,,,,2
88,-,Gabrielle,Åkei åkei åkei,-,85,1,,,,,1
89,-,Olivia Rodrigo,ballad of a homeschooled girl,-,30,4,,,,,1
90,-,Olivia Rodrigo,deja vu,-,4,22,17,2021-04-11,16,2021-04-18,1
91,-,Olivia Rodrigo,obsessed,-,58,3,,,,,1
92,down,Slimane,Mon amour,52,11,4,,,,,2
93,-,Olivia Rodrigo,lacy,-,31,4,,,,,1
94,-,Olivia Rodrigo,track 1,-,13,7,,,,,1
95,down,Astrid S,Oh Emma,90,29,8,,,,,1
96,down,Kendrick Lamar,euphoria,54,5,5,,,,,2
97,-,Sophie Ellis-Bextor,Murder On the Dancefloor,-,3,18,,,,,1
98,-,Kygo,Without You (with HAYLA),-,81,1,,,,,3
99,down,Postgirobygget,En Solskinnsdag,74,40,15,,,,,2
100,down,Kaizers Orchestra,Hjerteknuser,80,1,34,,,,,2
