Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Harry Styles,As It Was,2,1,9,,,,,2
2,down,Ballinciaga & David Mokel,Dans På Bordet,1,1,16,,,,,2
3,up,Harry Styles,Late Night Talking,40,3,2,,,,,2
4,down,Beathoven & Henrik von Grogg,STAY KEEG,3,1,5,,,,,2
5,up,Ballinciaga & Kris Winther,Beklager (Guttaklubben),5,3,9,,,,,2
6,up,Olivia Lobato,Syrener,7,6,3,,,,,1
7,down,Subwoolfer,Give That Wolf A Banana,4,2,19,,,,,2
8,up,Roc Boyz,Creem 2022,16,3,3,,,,,2
9,up,Harry Styles,Music For a Sushi Restaurant,45,9,2,,,,,2
10,down,Roc Boyz,Bonanza (feat. Greekazo),9,3,10,,,,,2
11,up,Lizzo,About Damn Time,15,9,7,,,,,1
12,up,Harry Styles,Little Freak,52,12,2,,,,,2
13,up,UNDERGRUNN,Italia,18,1,8,,,,,2
14,down,Cornelia Jakobs,Hold Me Closer,6,6,3,,,,,1
15,up,Harry Styles,Matilda,54,15,2,,,,,2
16,down,Karpe,PAF.no,14,1,18,,,,,2
17,up,Vinni,glorie,17,6,22,,,,,2
18,up,Harry Styles,Daylight,55,18,2,,,,,2
19,down,Benson Boone,In The Stars,12,7,5,,,,,2
20,up,Harry Styles,Grapejuice,53,20,2,,,,,2
21,down,Kendrick Lamar,N95,8,7,3,,,,,2
22,up,Harry Styles,Cinema,60,22,2,,,,,2
23,down,Ramon,17.mai,11,9,5,,,,,2
24,down,KALUSH,Stefania (Kalush Orchestra),10,10,3,,,,,2
25,up,Harry Styles,Satellite,63,25,2,,,,,2
26,up,Harry Styles,Daydreaming,64,26,2,,,,,2
27,up,Harry Styles,Love Of My Life,65,27,2,,,,,2
28,down,Jack Harlow,First Class,21,8,8,,,,,2
29,up,Alesso & Zara Larsson,Words,36,12,5,,,,,3
30,up,Alan Walker,The Drum,35,23,5,,,,,2
31,up,Harry Styles,Boyfriends,61,31,2,,,,,2
32,up,Harry Styles,Keep Driving,67,32,2,,,,,2
33,up,Måneskin,SUPERMODEL,33,33,3,,,,,3
34,up,Makosir & William Gamborg,Holder igjen,92,18,2,,,,,2
35,down,Kevin Lauren & Ballinciaga,TANTE,26,5,13,,,,,2
36,down,Madeline The Person,MEAN!,31,31,3,,,,,1
37,down,Panic! At the Disco,House of Memories,32,29,4,,,,,2
38,up,Taylor Swift,Don’t Blame Me,62,15,2,,,,,1
39,up,Hagle & ZadeKing & Blåsemafian,Høl i potta,97,32,2,,,,,2
40,down,Sam Ryder,SPACE MAN,22,22,3,,,,,2
41,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),42,6,41,,,,,3
42,up,Post Malone,Cooped Up (feat. Roddy Ricch),51,28,3,,,,,2
43,down,Chris Holsten,Slå hjerte slå,34,7,11,,,,,2
44,down,Amanda Tenfjord,Die Together,24,24,5,,,,,1
45,up,The Kid LAROI & Justin Bieber,Stay,69,1,47,,,,,2
46,down,Kendrick Lamar & Blxst & Amanda Reifer,Die Hard,13,8,3,,,,,3
47,down,Capow x 2G,31 Etasje,39,7,9,,,,,2
48,down,Camila Cabello,Bam Bam (feat. Ed Sheeran),44,11,13,,,,,3
