Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Olivia Rodrigo,good 4 u,2,1,3,,,,,1
2,up,Måneskin,ZITTI E BUONI (Eurovision Version),76,2,2,,,,,3
3,up,TIX,Fallen Angel,13,1,15,,,,,2
4,down,TIX,Engel Ikke Dra,3,3,3,,,,,2
5,up,Måneskin,ZITTI E BUONI,90,5,2,,,,,3
6,down,Doja Cat,Kiss Me More (feat. SZA),1,1,8,9,2021-04-18,1,2021-05-16,1
7,up,Barbara Pravi,Voilà,72,7,2,,,,,1
8,up,Olivia Rodrigo,deja vu,11,4,9,17,2021-04-11,16,2021-04-18,1
9,up,Tusse,Voices,54,9,2,,,,,2
10,-,Måneskin,I WANNA BE YOUR SLAVE,-,2,1,,,,,3
11,up,Efendi,Mata Hari,51,11,2,,,,,1
12,down,Dua Lipa,Levitating (feat. DaBaby),7,6,20,93,2020-10-25,3,2021-05-16,3
13,up,Elena Tsagkrinou,El Diablo,49,13,2,,,,,1
14,up,Daði Freyr,10 Years,80,14,2,,,,,2
15,down,Justin Bieber,Peaches (feat. Daniel Caesar & GIVĒON),5,1,11,56,2021-03-21,1,2021-03-28,2
16,up,Gjon's Tears,Tout l'univers,81,16,2,,,,,2
17,down,Tion Wayne & Russ Millions,Body (Remix) [feat. ArrDee E1 (3x3) ZT (3x3) Bugzy Malone Buni Fivio Foreign & Darkoo],4,4,4,84,2021-05-09,17,2021-05-16,2
18,down,Halva Priset & Maria Mena,Den fineste Chevy'n,10,4,13,,,,,3
19,down,Lil Nas X,MONTERO (Call Me By Your Name),6,2,10,3,2021-04-04,3,2021-04-04,2
20,up,BTS,Butter,58,18,2,,,,,2
21,down,Chris Holsten,Smilet i ditt eget speil,9,5,12,,,,,2
22,up,Blind Channel,Dark Side,84,22,2,,,,,2
23,down,Billie Eilish,Your Power,8,2,5,74,2021-05-02,5,2021-05-09,1
24,up,Go_A,SHUM,86,24,2,,,,,3
25,down,The Weeknd & Ariana Grande,Save Your Tears (Remix),12,3,6,76,2021-04-25,2,2021-05-02,3
26,up,Destiny,Je me casse (Eurovision Official Entry),55,26,2,,,,,1
27,up,Alan Walker & Conor Maynard,Believers,35,26,3,,,,,2
28,up,Olivia Rodrigo,traitor,61,6,2,,,,,1
29,up,Olivia Rodrigo,drivers license,33,1,21,1,2021-01-17,1,2021-01-17,2
30,down,Adrian Sellevoll,Jeg hater deg,16,11,6,,,,,2
31,up,THE ROOP,Discoteque,83,31,2,,,,,1
32,up,Olivia Rodrigo,enough for you,60,27,2,,,,,2
33,down,Kygo,Gone Are The Days (feat. James Gillespie),17,8,7,,,,,2
34,down,TIX,Ut Av Mørket,20,2,20,,,,,2
35,down,The Weeknd,Blinding Lights,25,1,79,94,2019-12-01,1,2020-03-01,2
36,down,AURORA,Runaway,18,6,9,26,2021-04-18,13,2021-04-25,1
37,down,P!nk & Willow Sage Hart,Cover Me In Sunshine,31,9,7,96,2021-04-11,41,2021-05-16,1
38,up,Olivia Rodrigo,brutal,62,36,2,,,,,1
39,up,Olivia Rodrigo,happier,67,18,2,,,,,1
40,up,Bella Poarch,Build a Bitch,71,23,2,,,,,1
41,down,J. Cole,m y . l i f e,14,14,3,86,2021-05-16,86,2021-05-16,2
42,up,Olivia Rodrigo,favorite crime,93,13,2,,,,,1
43,down,girl in red,Serotonin,15,7,13,,,,,1
44,up,Olivia Rodrigo,1 step forward 3 steps back,66,34,2,,,,,1
45,down,Duncan Laurence,Arcade,43,20,19,88,2021-02-28,69,2021-03-14,2
46,down,Riton & Nightcrawlers,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],28,25,9,72,2021-03-07,18,2021-05-16,2
47,down,Hagle,Ærbeskær,22,22,5,,,,,2
48,down,Polo G,RAPSTAR,19,4,8,86,2021-04-11,7,2021-04-18,2
49,down,Gabrielle,kan du love å vente (feat. Isah),44,42,3,,,,,3
50,down,Bruno Mars & Anderson .Paak & Silk Sonic,Leave The Door Open,24,6,13,6,2021-03-14,2,2021-05-09,2
51,down,Ruben,Running,26,10,11,,,,,2
52,down,Sondre Justad & Musti,Sorry (feat. Musti),29,5,12,,,,,3
53,down,Coldplay,Higher Power,27,19,4,46,2021-05-16,46,2021-05-16,2
54,up,Olivia Rodrigo,jealousy jealousy,78,41,2,,,,,1
55,down,Kamelen,Creme De La Creme,37,29,6,,,,,2
56,down,Emma Steinbakken,Jeg glemmer deg aldri (fra Rådebank),21,1,16,,,,,1
57,down,Victor Leksell,Svag,40,1,70,,,,,2
58,down,Dagny,Somebody,46,4,57,,,,,1
59,down,Nathan Evans & 220 KID & Billen Ted,Wellerman (220 KID x Billen Ted Remix),30,6,17,81,2021-02-28,39,2021-04-11,2
60,-,Lil Nas X,SUN GOES DOWN,-,58,1,,,,,2
61,-,Staysman,Du får aldri se meg naken igjen,-,53,1,,,,,2
62,down,Maria Petra,Lonely,47,7,15,,,,,1
63,down,Tiësto,The Business,36,16,22,52,2021-01-03,18,2021-04-04,2
64,-,Måneskin,CORALINE,-,64,1,,,,,3
65,down,Masked Wolf,Astronaut In The Ocean,42,15,18,60,2021-02-07,6,2021-04-04,2
66,-,Eden,Set Me Free,-,66,1,,,,,1
67,-,Manizha,RUSSIAN WOMAN,-,67,1,,,,,1
68,down,J. Cole,p r i d e . i s . t h e . d e v i l,23,23,3,,,,,2
69,down,The Weeknd,Save Your Tears,45,2,25,80,2020-03-22,1,2021-03-21,2
70,down,Morgan Sulele,Danse Med Meg Selv,59,59,3,,,,,2
71,-,Sigrid,Mirror,-,7,1,,,,,1
72,up,Stefania,Last Dance,98,72,2,,,,,1
73,down,ATB &Topic & A7S,Your Love (9PM),38,29,14,89,2021-02-21,25,2021-04-04,2
74,down,Hagle & Staysman,Bøgda,32,13,11,,,,,2
75,up,Tones and I,Dance Monkey,91,1,81,6,2019-10-06,1,2019-11-10,1
76,down,Victoria Nadine,History,41,40,4,,,,,1
77,down,J. Cole,a m a r i,34,34,3,,,,,2
78,down,Harry Styles,Watermelon Sugar,69,4,66,85,2019-11-17,2,2020-08-23,2
79,-,Olivia Rodrigo,hope ur ok,-,60,1,,,,,1
80,down,Tom Odell,Another Love,53,12,8,,,,,2
81,-,Hooverphonic,The Wrong Place,-,81,1,,,,,3
82,-,Ina Wroldsen,More,-,41,1,,,,,1
83,-,Jendrik,I Don't Feel Hate,-,83,1,,,,,2
84,-,Joel Corry,Head & Heart (feat. MNEK),-,19,42,99,2020-07-26,16,2020-09-20,2
85,-,Calvin Harris & Disciples,How Deep Is Your Love,-,85,1,,,,,2
86,-,Jeangu Macrooy,Birth of a New Age,-,86,1,,,,,2
87,down,Joel Corry & RAYE & David Guetta,BED,39,16,14,90,2021-04-04,42,2021-04-18,3
88,-,James Newman,Embers,-,88,1,,,,,2
89,-,Vance Joy,Riptide,-,59,9,,,,,2
90,-,VICTORIA,growing up is getting old (Eurovision Version),-,90,1,,,,,1
91,down,Dua Lipa,Don't Start Now,89,2,75,19,2019-11-03,3,2020-01-05,1
92,-,Anxhela Peristeri,Karma,-,92,1,,,,,1
93,down,Lady Gaga & Bradley Cooper,Shallow,63,9,79,25,2019-10-06,25,2019-10-06,3
94,-,Kristian Kristensen,feit liten taper,-,94,1,,,,,2
95,-,Galantis & David Guetta & Little Mix,Heartbreak Anthem,-,20,1,,,,,3
96,-,Anne-Marie & Niall Horan,Our Song,-,87,1,,,,,3
97,-,David Guetta,Memories (feat. Kid Cudi) [2021 Remix],-,89,4,,,,,2
98,down,Dua Lipa,We're Good,48,14,16,25,2021-02-21,11,2021-04-25,1
99,-,Jason Derulo,Take You Dancing,-,21,20,71,2020-08-23,16,2021-01-17,2
100,down,Coldplay,Viva La Vida,94,8,14,,,,,2
