Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
79,down,Kristian Kristensen & Hver gang vi møtes,Bror,72,72,2,,,,,3
80,-,Henrik von Grogg & Henrik Viken,OPP I BAKKEN,-,31,1,,,,,2
81,down,Victoria Nadine,Nerve,47,8,12,,,,,1
82,down,Ingebjørg Bratland & Hver gang vi møtes,Evig kvile,48,16,4,,,,,3
83,-,Isah & Hver gang vi møtes,Stjernene,-,83,1,,,,,3
84,up,Ballinciaga & Kris Winther,Beklager (Guttaklubben),86,3,39,,,,,2
85,down,Fleetwood Mac,Go Your Own Way,83,45,27,,,,,3
86,-,Lewis Capaldi,Someone You Loved,-,3,86,4,2019-10-06,4,2019-10-06,2
87,down,Freddy Kalas & Hver gang vi møtes,Olav Olav,62,62,2,,,,,3
88,-,Chris Abolade,Sorry jeg har pult en annen,-,21,1,,,,,2
89,-,Alexander Stewart,blame's on me,-,89,1,,,,,2
90,down,Benson Boone,In The Stars,64,7,35,,,,,2
91,down,Umami Tsunami & Kyle Alessandro & Magnus Winjum,Geronimo (feat. Kristian Haux),73,56,2,,,,,2
92,-,Ed Sheeran,Thinking Out Loud,-,68,9,,,,,2
93,-,Kaizers Orchestra,Hjerteknuser,-,1,16,,,,,2
94,down,Drake & 21 Savage,Rich Flex,65,2,12,,,,,2
95,up,Beathoven & Capow x 2G,SØR-AFRIKA,100,1,32,,,,,2
96,-,Billie Eilish,bad guy,-,5,97,5,2019-10-06,5,2019-10-06,1
97,-,Lil Yachty,the BLACK seminole.,-,81,1,,,,,2
98,-,The Weeknd,Save Your Tears,-,2,53,80,2020-03-22,1,2021-03-21,2
99,down,SZA,Nobody Gets Me,63,15,8,,,,,1
100,down,Arctic Monkeys,I Wanna Be Yours,66,55,8,,,,,2
