Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Miley Cyrus,Flowers,1,1,3,,,,,1
2,up,Emma Steinbakken & Hver gang vi møtes,Floden,2,1,6,,,,,3
3,up,Isah & Maria Mena & Hver gang vi møtes,Alt du vil ha,3,2,4,,,,,3
4,up,SZA,Kill Bill,4,3,7,,,,,1
5,up,Arif Murakami & Karpe,(Åh) Tåmy Tåmy - Rifla x Sheriff,5,5,5,,,,,2
6,up,RAYE,Escapism. (feat. 070 Shake),6,2,10,,,,,1
7,up,Taylor Swift,Anti-Hero,7,1,15,,,,,1
8,up,Miguel,Sure Thing,9,7,4,,,,,2
9,down,Metro Boomin & The Weeknd & 21 Savage,Creepin',8,6,9,,,,,2
10,up,Alessandra,Queen of Kings,41,2,2,,,,,1
11,down,David Guetta & Bebe Rexha,I'm Good (Blue),10,1,23,,,,,3
12,down,Harry Styles,As It Was,11,1,44,,,,,2
13,-,Jone,Ekko inni meg (feat. Silke),-,4,1,,,,,3
14,down,Emma Steinbakken & Hver gang vi møtes,BlimE,12,12,4,,,,,3
15,-,Isah & Hver gang vi møtes,Hopelessly Hopeless,-,7,1,,,,,3
16,down,Ballinciaga & David Mokel,Dans På Bordet,13,1,51,,,,,2
17,-,Bjørn Eidsvåg & Hver gang vi møtes,Skal ikke gråte,-,14,1,,,,,3
18,-,Freddy Kalas & Hver gang vi møtes,Dans,-,18,1,,,,,3
19,down,Sam Smith & Kim Petras,Unholy,14,2,19,,,,,2
20,down,Broiler & PandaPanda,Det eneste jeg vil er å ha det fett,19,19,3,,,,,2
21,down,Ulrikke,Honestly,15,15,3,,,,,1
22,down,Aden Foyer,The Ballet Girl,17,17,3,,,,,2
23,down,Lady Gaga,Bloody Mary,18,11,8,,,,,1
24,up,Eminem,Mockingbird,33,17,14,,,,,2
25,down,Meghan Trainor,Made You Look,20,7,14,,,,,1
26,up,Bizarrap & Shakira,Shakira: Bzrp Music Sessions Vol. 53,35,25,2,,,,,3
27,down,Freddy Kalas & Hver gang vi møtes,Bare en mann,21,13,4,,,,,3
28,down,UNDERGRUNN,Italia,26,1,43,,,,,2
29,down,Central Cee,LET GO,24,24,5,,,,,2
30,down,Kristian Kristensen & Hver gang vi møtes,Eg ser,16,9,4,,,,,3
31,down,Tom Odell,Another Love,23,12,64,,,,,2
32,down,Tory Lanez,The Color Violet,28,27,4,,,,,2
33,up,Emma Steinbakken,Jeg glemmer deg aldri (fra Rådebank),49,1,80,,,,,1
34,down,Karpe,PAF.no,29,1,53,,,,,2
35,down,Ingebjørg Bratland & Hver gang vi møtes,Pinne for landet,22,11,4,,,,,3
36,down,JVKE,Golden Hour,30,19,13,,,,,2
37,down,Marstein,Frida Kahlo,27,2,19,,,,,2
38,down,Hkeem,Danser videre i livet (feat. Makosir),25,11,13,,,,,2
39,down,Tiësto & Tate McRae,10:35,34,24,9,,,,,3
40,down,Arif Murakami,Igjen,31,31,3,,,,,2
41,up,Tiësto,Lay Low,45,30,3,,,,,2
42,up,Coldplay,Viva La Vida,43,8,37,,,,,2
43,down,OneRepublic,I Ain't Worried,32,4,31,,,,,2
44,down,Dean Lewis,How Do I Say Goodbye,36,10,20,,,,,2
45,down,Oliver Tree & Robin Schulz,Miss You,38,4,15,,,,,2
46,down,The Weeknd,Blinding Lights,40,1,160,94,2019-12-01,1,2020-03-01,2
47,up,Selma Ibrahim,BlimE! - Den Ene,51,10,31,,,,,1
48,up,Libianca,People,69,35,2,,,,,1
49,down,Ed Sheeran,Perfect,46,33,28,73,2019-10-06,58,2019-10-20,2
50,up,Emma Steinbakken & Hver gang vi møtes,Night In Oslo,57,50,2,,,,,3
51,down,The Weeknd,Starboy (feat. Daft Punk),39,39,12,,,,,2
52,up,Morgan Sulele & William Gamborg,Oppmerksomhet,52,11,12,,,,,2
53,up,Sia,Unstoppable,56,45,29,81,2019-11-10,81,2019-11-10,1
54,up,Chris Holsten,Smilet i ditt eget speil,55,5,92,,,,,2
55,down,Rosa Linn,SNAP,44,6,22,,,,,1
56,down,The Weeknd,Die For You,54,54,4,,,,,2
57,up,Felix Jaehn & Ray Dalton,Call It Love,70,57,2,,,,,2
58,down,The Kid LAROI & Justin Bieber,Stay,53,1,73,,,,,2
59,up,Vinni,glorie,59,6,52,,,,,2
60,up,Ed Sheeran,Shape of You,71,40,40,94,2020-01-05,94,2020-01-05,2
61,up,Bruno Mars,When I Was Your Man,67,61,2,,,,,2
62,-,Kamelen,Mama,-,32,1,,,,,2
63,down,Halva Priset & Maria Mena,Den fineste Chevy'n,61,4,90,,,,,3
64,down,Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),37,3,13,,,,,1
65,down,Isah & Hver gang vi møtes,Feel da rush,42,30,3,,,,,3
66,down,Bjørn Eidsvåg & Hver gang vi møtes,Jovial,50,20,3,,,,,3
67,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),68,6,69,,,,,3
68,-,Adele,Set Fire to the Rain,-,32,5,,,,,1
69,down,Stephen Sanchez & Em Beihold,Until I Found You (Em Beihold Version),58,58,3,,,,,3
70,-,Ed Sheeran,Bad Habits,-,1,77,,,,,2
71,up,Broiler & Kamelen & Emma Steinbakken,BAP,91,11,15,,,,,3
72,-,Emma Steinbakken,Not Gonna Cry,-,72,1,,,,,1
73,-,Ingebjørg Bratland & Hver gang vi møtes,Han er ikkje deg,-,73,1,,,,,3
74,up,Brødrene Bausa & Norwegian House Mafia,Manifest,75,64,3,,,,,2
75,-,Cian Ducrot,I'll Be Waiting,-,75,1,,,,,2
76,-,Kristian Kristensen & Hver gang vi møtes,Without You,-,76,1,,,,,3
77,-,Bjørn Eidsvåg & Hver gang vi møtes,Fordi eg elskar deg,-,77,1,,,,,3
78,-,Karoline Krüger & Aslag Haugen & Hver gang vi møtes,Eg glemmer deg aldri,-,78,1,,,,,3
