Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,The Weeknd,Blinding Lights,1,1,27,94,2019-12-01,1,2020-03-01,2
2,up,Victor Leksell,Svag,2,1,18,,,,,2
3,up,DaBaby,ROCKSTAR (feat. Roddy Ricch),3,3,7,79,2020-04-19,1,2020-07-05,2
4,up,Lady Gaga & Ariana Grande,Rain On Me,58,4,2,75,2020-05-24,1,2020-05-31,1
5,up,Dagny,Somebody,5,4,5,,,,,1
6,down,Ariana Grande & Justin Bieber,Stuck with U,4,3,4,95,2020-05-10,3,2020-05-17,3
7,up,Kygo & OneRepublic,Lose Somebody,10,6,3,86,2020-06-07,80,2020-07-05,2
8,up,Tones and I,Dance Monkey,11,1,30,6,2019-10-06,1,2019-11-10,1
9,up,Kygo & Valerie Broussard,The Truth,73,9,2,,,,,3
10,down,NOTD & Astrid S,I Don't Know Why,8,8,4,,,,,3
11,down,6ix9ine,GOOBA,6,6,4,100,2020-05-10,2,2020-05-17,2
12,up,The Weeknd,In Your Eyes,15,2,11,41,2020-03-22,12,2020-03-29,2
13,down,TIX,Karantene,7,2,10,,,,,2
14,up,El Papi,Sykepleierinnen (Sykehuset 2020),31,14,3,,,,,2
15,up,SAINt JHN,Roses (Imanbek Remix),17,5,20,97,2020-01-12,7,2020-05-10,2
16,up,Ava Max,Kings & Queens,16,12,12,80,2020-03-15,37,2020-09-27,1
17,down,Dua Lipa,Don't Start Now,12,2,30,19,2019-11-03,3,2020-01-05,1
18,down,Ruben,Burn Down This Room,13,13,4,,,,,2
19,down,Drake,Toosie Slide,14,2,9,65,2020-04-05,2,2020-04-26,2
20,down,TIX,SKÅL,9,9,5,,,,,2
21,down,Chris Holsten & Frida Ånnevik,Hvis verden,20,19,3,,,,,3
22,down,Dua Lipa,Break My Heart,19,9,10,97,2020-03-29,5,2020-06-28,1
23,down,THE SCOTTS & Travis Scott & Kid Cudi,THE SCOTTS,18,6,6,65,2020-04-26,1,2020-05-03,2
24,up,Lady Gaga & Bradley Cooper,Shallow,26,9,30,25,2019-10-06,25,2019-10-06,3
25,down, Kygo & Zara Larsson & Tyga,Like It Is,22,8,10,81,2020-03-29,40,2020-04-05,3
26,down,Dua Lipa,Physical,21,7,18,48,2020-02-02,15,2020-04-12,1
27,down,Doja Cat,Say So,24,13,20,100,2020-02-02,6,2020-05-03,1
28,up,JP Saxe,If the World Was Ending (feat. Julia Michaels),29,11,30,99,2020-01-12,49,2020-06-21,3
29,up,Amanda Delara,Tell Me One Thing,88,28,2,,,,,1
30,down,K-391 & Alan Walker & Ahrix,End of Time,25,19,13,,,,,2
31,up,Billie Eilish,bad guy,36,5,30,5,2019-10-06,5,2019-10-06,1
32,down,TIX,Kaller På Deg,23,10,12,,,,,2
33,down,Doja Cat,Boss Bitch,28,17,12,60,2020-03-22,23,2020-04-26,1
34,down,Harry Styles,Adore You,30,13,26,24,2019-12-08,6,2020-04-19,2
35,down,Billie Eilish,everything i wanted,34,1,29,53,2019-11-17,3,2019-11-24,1
36,up,Dagny,Coulda Woulda Shoulda,75,36,2,,,,,1
37,up,Lewis Capaldi,Before You Go,45,13,28,45,2019-11-24,10,2020-08-30,2
38,up,surf mesa,Ily,42,23,5,63,2020-04-19,18,2020-07-12,2
39,down,Dagny,Come Over,37,26,14,,,,,1
40,down,Seeb & Goodboys & HRVY,Unfamiliar,27,26,5,,,,,2
41,down,AURORA,Exist For Love,38,38,3,,,,,1
42,down,Ava Max,Salt,40,17,19,91,2020-03-01,65,2020-04-19,1
43,down,Powfu,Death Bed (feat. beabadoobee),32,17,13,100,2020-03-01,7,2020-04-26,3
44,up,Shawn Mendes & Camila Cabello,Señorita,52,8,30,1,2019-10-06,1,2019-10-06,3
45,up,Melanie Martinez,Play Date,72,45,4,87,2020-05-17,68,2020-06-07,1
46,up,Lil Mosey,Blueberry Faygo,48,22,15,69,2020-02-16,24,2020-04-12,2
47,down,BENEE,Supalonely (feat. Gus Dapperton),33,3,13,94,2020-03-15,35,2020-04-26,3
48,down,Astrid S & Brett Young,I Do,44,4,14,,,,,3
49,up,Rat City & Isak Heim,I Just Wanna Dance,69,49,2,,,,,2
50,up,Tones and I,Bad Child,54,46,10,,,,,1
51,up,Marshmello & Halsey,Be Kind,64,39,5,50,2020-05-03,29,2020-05-17,3
52,up,Lady Gaga,Stupid Love,98,8,12,28,2020-03-01,8,2020-03-08,1
53,up,Maroon 5,Memories,55,3,30,36,2019-10-06,2,2019-11-17,2
54,up,Lady Gaga,Always Remember Us This Way,57,25,30,98,2019-10-13,90,2019-11-17,1
55,up,StaySolidRocky,Party Girl,99,31,2,86,2020-05-10,14,2020-06-14,2
56,up,TIX & Soppgirobygget,Dommedagen 2020,65,56,2,,,,,2
57,down,Surfaces,Sunday Best,51,20,19,96,2020-03-01,27,2020-04-26,2
58,up,Harry Styles,Watermelon Sugar,91,4,18,85,2019-11-17,2,2020-08-23,2
59,-,Lady Gaga,Sour Candy,-,12,1,78,2020-05-31,4,2020-06-07,1
60,up,Kygo & Whitney Houston,Higher Love,71,16,30,22,2019-10-06,20,2019-10-13,3
61,down,Justin Bieber,Intentions (feat. Quavo),47,7,17,35,2020-02-09,4,2020-04-05,2
62,up,Sia,Together (From the Motion Picture Music),83,62,2,,,,,1
63,down,Katy Perry,Daisies,35,35,3,48,2020-05-24,48,2020-05-24,1
64,up,Roddy Ricch,The Box,66,4,25,91,2019-12-08,2,2020-02-16,2
65,down,Kygo,Freedom (feat. Zak Abel),49,14,7,70,2020-04-26,70,2020-04-26,2
66,up,Ellie Goulding,Power,93,66,2,,,,,1
67,down,Natalie Taylor,Surrender,50,36,5,,,,,1
68,down,Maria Mena,Not OK,39,19,6,,,,,1
69,down,Ulrikke,Attention,41,4,16,,,,,1
70,down,Daði Freyr,Think About Things,56,56,3,,,,,2
71,down,Harry Styles,Falling,62,32,24,57,2019-12-15,39,2019-12-22,2
72,down,Post Malone,Circles,70,9,30,2,2019-10-06,2,2019-10-06,2
73,down,Alan Walker & Ruben,Heading Home,46,17,9,,,,,2
74,down,Herman Flesvig,Haugenstua,53,1,20,,,,,2
75,down,Kygo & Sasha Sloan,I'll Wait,61,13,9,82,2020-04-05,42,2020-04-12,3
76,-,Kygo & Kim Petras,Broken Glass,-,8,1,,,,,3
77,up,Billie Eilish,when the party's over,82,21,30,99,2019-12-29,27,2020-02-02,1
78,-,Lady Gaga,Alice,-,67,1,93,2020-05-31,60,2020-06-07,1
79,-,Lady Gaga,Free Woman,-,66,1,99,2020-05-31,80,2020-06-07,1
80,-,Jack Harlow,Whats Poppin,-,51,5,76,2020-03-22,37,2020-04-19,2
81,-,Lady Gaga,Chromatica I,-,81,1,,,,,1
82,-,Kygo & Zac Brown,Someday,-,61,1,,,,,2
83,-,Lady Gaga,911,-,83,1,98,2020-05-31,74,2020-06-07,1
84,-,Kygo & Jamie N Commons,Feels Like Forever,-,65,1,,,,,2
85,down,Travis Scott,goosebumps,59,38,6,89,2020-04-26,18,2020-05-03,2
86,-,The Weeknd,In Your Eyes (Remix) [feat. Doja Cat],-,86,1,,,,,3
87,-,ROSALÍA & Travis Scott,TKN,-,60,1,96,2020-05-31,21,2020-06-07,3
88,-,Kygo & Sandro Cavazza,Beautiful,-,70,1,,,,,2
89,-,Lady Gaga,Fun Tonight,-,89,1,83,2020-06-07,83,2020-06-07,1
90,down,Lewis Capaldi,Bruises,79,28,28,,,,,2
91,-,Lady Gaga,Chromatica II,-,91,1,96,2020-06-07,96,2020-06-07,1
92,-,Lady Gaga,Plastic Doll,-,92,1,92,2020-06-07,92,2020-06-07,1
93,-,Lady Gaga,Enigma,-,93,1,88,2020-06-07,88,2020-06-07,1
94,-,Lady Gaga,Sine From Above,-,94,1,84,2020-06-07,84,2020-06-07,1
95,down,Isah,LUV MEG,68,35,6,,,,,2
96,down,Travis Scott,SICKO MODE,81,39,6,48,2020-04-26,9,2020-05-03,2
97,-,Robin Schulz,In Your Eyes (feat. Alida),-,40,17,95,2020-03-08,54,2020-04-05,3
98,-,Billie Eilish & Khalid,lovely,-,53,22,62,2020-02-02,62,2020-02-02,3
99,down,Future,Life Is Good (feat. Drake),97,7,20,86,2020-01-12,6,2020-01-19,2
100,-,Kygo & Oh Wonder,How Would I Know,-,94,1,,,,,3
