Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,DJ Momo,Badebussen (feat. Kjartan Lauritzen),1,1,14,,,,,2
2,up,23 & Roc Boyz,Feeling Myself (Roc Boyz Remix),4,2,8,,,,,2
3,down,Doja Cat,Paint The Town Red,2,2,7,,,,,1
4,-,Kenya Grace,Strangers,2,2,7,,,,,1
5,up,Tate McRae,greedy,12,1,3,,,,,1
6,down,Olivia Rodrigo,vampire,3,1,14,,,,,1
7,up,cassö & RAYE & D-Block Europe,Prada,9,7,7,,,,,3
8,up,Kudos & Golfklubb,Haien Kommer (Sharkdog 2023),10,1,23,,,,,2
9,down,Dua Lipa,Dance The Night,7,1,18,,,,,1
10,down,Unknown,What Was I Made For?,8,1,12,,,,,1
11,up,UNDERGRUNN,Michelin Stjerner,14,1,25,,,,,2
12,down,Dave & Central Cee,Sprinter,11,1,18,,,,,2
13,up,Delara,Josefin,17,6,17,,,,,1
14,up,Chris Holsten,Gå bli lykkelig du,81,14,2,,,,,2
15,up,Loreen,Tattoo,18,1,31,,,,,1
16,down,Olivia Rodrigo,bad idea right?,13,7,8,,,,,1
17,up,The Weeknd,Blinding Lights,19,1,195,94,2019-12-01,1,2020-03-01,2
18,up,UNDERGRUNN,Italia,20,1,78,,,,,2
19,down,Drake,Slime You Out (feat. SZA),6,6,3,,,,,3
20,up,David Kushner,Daylight,22,4,25,,,,,2
21,up,Taylor Swift,Cruel Summer,24,5,15,,,,,1
22,up,El Papi,Haha (feat. Rambow),48,21,2,,,,,2
23,up,Chris Holsten,Oslo,31,23,5,,,,,2
24,up,Ballinciaga & David Mokel,Dans På Bordet,25,1,86,,,,,2
25,down,Miley Cyrus,Flowers,16,1,38,,,,,1
26,up,Emma Steinbakken & Hver gang vi møtes,Floden,28,1,40,,,,,3
27,down,Olivia Rodrigo,get him back!,15,6,4,,,,,1
28,up,Brødrene Bausa,Turné,30,5,24,,,,,2
29,down,Nicki Minaj & Ice Spice,Barbie World (with Aqua),23,2,11,,,,,3
30,down,Marstein,Sommerhus,27,7,17,,,,,2
31,down,Zara Larsson,Can't Tame Her,29,8,35,,,,,1
32,up,Rema & Selena Gomez,Calm Down,32,11,32,,,,,3
33,up,Coldplay,Viva La Vida,33,8,72,,,,,2
34,up,Tom Odell,Another Love,38,12,99,,,,,2
35,down,Olivia Rodrigo,track 1,21,13,4,,,,,1
36,down,Harry Styles,As It Was,35,1,79,,,,,2
37,down,Dagny,Ray-Bans,26,26,4,,,,,1
38,down,UNDERGRUNN,Klikk,34,2,30,,,,,2
39,down,Kudos & B.G. & Phill,Rizzetid,37,37,3,,,,,2
40,-,Segertåget,VARMT,-,27,1,,,,,2
41,down,Dagny,Heartbreak In The Making,36,12,23,,,,,1
42,up,Ballinciaga,leve,45,7,19,,,,,2
43,up,Taylor Swift,Anti-Hero,47,1,50,,,,,1
44,up,Kylie Minogue,Padam Padam,70,33,15,,,,,1
45,down,Karpe,PAF.no,41,1,88,,,,,2
46,up,Gunna,fukumean,55,32,12,,,,,2
47,down,Beathoven & TIX,LOVE </3,39,19,18,,,,,2
48,-,Tyla,Water,-,12,1,,,,,1
49,up,Ed Sheeran,Perfect,50,33,62,73,2019-10-06,58,2019-10-20,2
50,down,Post Malone,Chemical,42,21,23,,,,,2
51,up,Adele,Set Fire to the Rain,51,32,36,,,,,1
52,up,UNDERGRUNN,Lenge Leve,52,12,25,,,,,2
