Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Olivia Rodrigo,drivers license,1,1,4,1,2021-01-17,1,2021-01-17,1
2,up,Hver gang vi møtes & Maria Mena,I Need a Man,84,2,2,,,,,3
3,down,TIX,Ut Av Mørket,2,2,3,,,,,2
4,down,The Kid LAROI,WITHOUT YOU,3,1,9,32,2020-12-13,12,2021-02-28,2
5,up,SZA,Good Days,9,5,4,39,2021-01-03,8,2021-01-10,1
6,up,KEiiNO,MONUMENT,7,3,3,,,,,3
7,down,The Kid LAROI,SO DONE,5,4,13,61,2020-11-15,61,2020-11-15,2
8,up,Billie Eilish & ROSALÍA,Lo Vas A Olvidar,64,8,2,17,2021-01-31,17,2021-01-31,1
9,down,Justin Bieber,Anyone,4,3,5,5,2021-01-10,5,2021-01-10,2
10,down,Taylor Swift,willow,6,2,8,73,2020-12-13,2,2020-12-20,1
11,down,TIX,Tusen Tårer,8,6,6,,,,,2
12,down,FELIX SANDMAN,Relations (feat. Astrid S),10,10,6,,,,,3
13,up,The Weeknd,Save Your Tears,17,2,8,80,2020-03-22,1,2021-03-21,2
14,up,Raylee,Hero,76,13,2,,,,,1
15,down,The Weeknd,Blinding Lights,13,1,62,94,2019-12-01,1,2020-03-01,2
16,up,Stina Talling,Elevate,24,16,3,,,,,1
17,up,Hver gang vi møtes & Arne Hurlen,Jeg vil ikke se deg med han,29,17,2,,,,,3
18,down,Dagny,Somebody (Acoustic),16,12,5,,,,,1
19,down,Dagny,Somebody,18,4,40,,,,,1
20,down,Victoria Nadine,Be Okay,11,11,10,,,,,1
21,up,Sabrina Carpenter,Skin,82,21,2,32,2021-01-31,32,2021-01-31,1
22,down,Ariana Grande,positions,14,2,15,77,2020-10-25,1,2020-11-01,1
23,down,CJ,Whoopty,22,19,13,51,2020-11-22,8,2021-01-24,2
24,down,Emilie Nicolas,Who's Gonna Love You (feat. Isah),20,20,3,,,,,3
25,down,James Arthur,Train Wreck,21,8,17,,,,,2
26,up,Victor Leksell,Svag,28,1,53,,,,,2
27,up,Astrid S,It's Ok If You Forget Me,31,3,20,,,,,1
28,down,Tiësto,The Business,26,16,5,52,2021-01-03,18,2021-04-04,2
29,down,Miley Cyrus,Track Four,27,9,11,13,2020-11-29,13,2020-11-29,1
30,down,Ed Sheeran,Afterglow,15,3,6,18,2021-01-03,18,2021-01-03,2
31,down,Emma Steinbakken,Stay With Me (From the Original Netflix Series - Home For Christmas Season 2),12,9,11,,,,,1
32,down,24kGoldn,Mood (feat. iann dior),23,1,24,33,2020-08-23,1,2020-10-11,2
33,up,Doja Cat,Streets,46,31,2,27,2021-01-24,7,2021-03-07,1
34,down,Tate McRae,you broke me first,19,3,27,81,2020-08-23,15,2020-11-15,1
35,down,Billie Eilish,Therefore I Am,30,1,12,97,2020-11-15,4,2020-11-22,1
36,down,HVME,Goosebumps,32,32,4,85,2021-01-10,69,2021-01-17,2
37,up,Lewis Capaldi,Before You Go,47,13,59,45,2019-11-24,10,2020-08-30,2
38,down,Lewis Capaldi,Someone You Loved,35,3,53,4,2019-10-06,4,2019-10-06,2
39,down,Tones and I,Dance Monkey,38,1,64,6,2019-10-06,1,2019-11-10,1
40,down,Justin Bieber & benny blanco,Lonely,25,1,16,6,2020-10-25,6,2020-10-25,2
41,down,Blåsemafian,Let Loose (feat. Hazel),37,37,2,,,,,3
42,down,Ruben,Dear God,34,8,13,,,,,2
43,up,LOVA,Dance For The Hell Of It,77,43,2,,,,,1
44,up,Ringnes-Ronny,VI SKA BLI FULLA,83,37,2,,,,,2
45,up,Lady Gaga & Bradley Cooper,Shallow,50,9,62,25,2019-10-06,25,2019-10-06,3
