Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Kudos & Golfklubb,Haien Kommer (Sharkdog 2023),2,1,6,,,,,2
2,down,Loreen,Tattoo,1,1,14,,,,,1
3,up,Miley Cyrus,Flowers,5,1,21,,,,,1
4,down,Käärijä,Cha Cha Cha,3,2,4,,,,,2
5,up,UNDERGRUNN,Michelin Stjerner,6,1,8,,,,,2
6,down,Alessandra,Queen of Kings,4,2,20,,,,,1
7,up,Karpe & Omar Sheriff & The Quick Style,Meri Jaan (feat. Mo Ayn) [LePark Studio Milan],7,7,3,,,,,2
8,up,Emma Steinbakken & Hver gang vi møtes,Floden,10,1,24,,,,,3
9,down,David Kushner,Daylight,8,4,8,,,,,2
10,down,Brødrene Bausa,Turné,9,5,7,,,,,2
11,up,Calvin Harris & Ellie Goulding,Miracle,19,11,13,,,,,3
12,up,Ballinciaga,leve,61,7,2,,,,,2
13,down,Dagny,Heartbreak In The Making,12,12,6,,,,,1
14,down,Emma Steinbakken & Hver gang vi møtes,Delilah,11,3,17,,,,,3
15,up,Harry Styles,As It Was,15,1,62,,,,,2
16,down,UNDERGRUNN,Italia,13,1,61,,,,,2
17,up,Rema & Selena Gomez,Calm Down,24,11,15,,,,,3
18,down,Karpe,PAF.no,16,1,71,,,,,2
19,down,Alan Walker & Sasha Alex Sloan,Hero,14,14,4,,,,,3
20,down,Ed Sheeran,Eyes Closed,18,7,11,,,,,2
21,down,David Guetta & Anne-Marie & Coi Leray,Baby Don't Hurt Me,17,17,7,,,,,3
22,up,Zara Larsson,Can't Tame Her,23,8,18,,,,,1
23,down,Ballinciaga & David Mokel,Dans På Bordet,20,1,69,,,,,2
24,up,Taylor Swift,Anti-Hero,32,1,33,,,,,1
25,up,OneRepublic,I Ain't Worried,34,4,49,,,,,2
26,up,The Weeknd,Blinding Lights,26,1,178,94,2019-12-01,1,2020-03-01,2
27,down,Roc Boyz,Sett deg ned,21,10,9,,,,,2
28,up,Tiësto & Tate McRae,10:35,31,24,27,,,,,3
29,down,UNDERGRUNN,Klikk,25,2,13,,,,,2
30,down,David Guetta & Bebe Rexha,I'm Good (Blue),29,1,41,,,,,3
31,down,UNDERGRUNN,Egoland,22,9,8,,,,,2
32,down,Rambow,F.H.D.S!,27,14,10,,,,,2
