Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
1,up,Harry Styles,As It Was,2,1,9,,,,,2
2,down,andreas odbjerg,hjem fra fabrikken,1,1,13,,,,,2
3,up,Tobias Rahim,Mucki Bar,3,1,16,,,,,2
4,up,Harry Styles,Late Night Talking,42,4,2,,,,,2
5,down,Tobias Rahim,STOR MAND (feat. andreas odbjerg),4,1,42,,,,,2
6,up,The Minds Of 99,Under Din Sne,7,2,30,,,,,2
7,down,Jack Harlow,First Class,5,5,8,,,,,2
8,up,Lizzo,About Damn Time,9,7,7,,,,,1
9,up,Harry Styles,Music For a Sushi Restaurant,61,9,2,,,,,2
10,up,GMG,Danser,13,8,6,,,,,2
11,up,Harry Styles,Matilda,71,11,2,,,,,2
12,down,Camila Cabello,Bam Bam (feat. Ed Sheeran),10,7,13,,,,,3
13,up,Harry Styles,Little Freak,68,13,2,,,,,2
14,up,Harry Styles,Daylight,72,14,2,,,,,2
15,up,Lost Frequencies & Calum Scott,Where Are You Now,15,7,31,,,,,2
16,up,Ed Sheeran,Shivers,17,1,38,,,,,2
17,down,Elton John & Dua Lipa,Cold Heart (PNAU Remix),16,4,41,,,,,3
18,up,Glass Animals,Heat Waves,18,7,39,75,2021-02-28,71,2021-03-07,2
19,up,Harry Styles,Grapejuice,67,19,2,,,,,2
20,up,Gilli,Kender Ik' I Morgen,20,3,20,,,,,2
21,up,Harry Styles,Cinema,75,21,2,,,,,2
22,up,D1MA,DRØM MIG VÆK,23,14,8,,,,,2
23,up,Tobias Rahim,Når Mænd Græder,31,9,3,,,,,2
24,down,The Kid LAROI & Justin Bieber,Stay,22,1,47,,,,,2
25,up,Harry Styles,Daydreaming,78,25,2,,,,,2
26,up,Harry Styles,Satellite,80,26,2,,,,,2
27,down,Specktors & Tessa & TopGunn,Lågsus For Evigt,24,14,7,,,,,3
28,up,Ed Sheeran,Bad Habits,28,1,49,,,,,2
29,down,Dean Lewis,Half a Man,27,2,20,,,,,2
30,down,Benson Boone,In The Stars,19,19,5,,,,,2
31,up,Harry Styles,Boyfriends,81,31,2,,,,,2
32,up,Harry Styles,Keep Driving,86,32,2,,,,,2
33,up,Harry Styles,Love Of My Life,88,33,2,,,,,2
34,up,Josef & TopGunn,Er Det For Sent? (Remix),94,21,2,,,,,2
35,down,andreas odbjerg,i morgen er der også en dag,33,7,61,,,,,2
36,down,Dean Lewis,Hurtless,32,8,8,,,,,2
37,down,Adele,Easy On Me,36,1,33,,,,,1
38,down,Kendrick Lamar,N95,6,6,3,,,,,2
39,up,Jonah Blacksmith,House On Fire,40,18,21,,,,,2
40,down,Future,WAIT FOR U (feat. Drake & Tems),26,26,5,,,,,2
41,down,Kendrick Lamar & Blxst & Amanda Reifer,Die Hard,8,8,3,,,,,3
42,down,Tiësto & Ava Max,The Motto,38,13,21,,,,,3
43,-,GMG,Hvor Har Du Lært Det,-,40,1,,,,,2
