Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,Gender
89,down,Drew Sycamore,Jungle,76,39,14,,,,,1
90,-,Volbeat,For Evigt (feat. Johan Olsen),-,48,39,,,,,2
91,down,Jada,Something To Say,69,23,10,,,,,1
92,-,Jasmin Gabay & Erann DD & Barbara Moleko & Marcel Gbekle & Andrea Lykke Oehlenschlæger & Mira Andrea Balloli & Encanto - Cast,Vi taler ikke om Bruno,-,79,1,,,,,3
93,down,The Minds Of 99,1234,62,23,8,,,,,2
94,-,Joel Corry,Head & Heart (feat. MNEK),-,4,64,99,2020-07-26,16,2020-09-20,2
95,down,Dua Lipa,Levitating,84,60,12,74,2020-04-05,74,2020-04-05,1
96,up,Tones and I,Dance Monkey,98,1,100,6,2019-10-06,1,2019-11-10,1
97,-,Michael Jackson,Billie Jean (Single Version),-,69,1,,,,,2
98,-,Farruko,Pepas,-,53,1,,,,,2
99,-,MØ,Youth Is Lost,-,99,1,,,,,1
100,down,The Weeknd,Less Than Zero,63,35,4,,,,,2
